,,,82.52,68.34,76.96,93,95.5,80.53,95.8,96.85,86.1875
Y,,,80.96,70.39,77.59,91.37,95.1,80.18,93.75,97.14,85.81
Y,Y,,81.27,72.64,78.37,87.07,94.27,80.52,96.46,96.99,85.94875
Y,Y,Y,83.16,72.78,78.59,90.89,94.92,79.6,96.44,96.56,86.6175
