number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
44,0.8343333333333334,2025-05-19 20:15:47.138136,2025-05-19 20:16:05.007271,0 days 00:00:17.869135,True,4.25,COMPLETE,0.6,0.99,0.99,0.0006568760031822829,0.0038322396701512287,2.0,0.30000000000000004,0.05,False,,0.1
119,0.8343333333333334,2025-05-19 20:41:38.113293,2025-05-19 20:42:01.074370,0 days 00:00:22.961077,True,3.25,COMPLETE,0.6,0.995,0.995,0.00021941972309511644,0.046043630199984226,1.9000000000000001,0.25,0.05,True,90.0,0.3
8,0.834,2025-05-19 20:03:33.705574,2025-05-19 20:03:56.329081,0 days 00:00:22.623507,True,3.75,COMPLETE,0.6,0.9,0.9,0.0004582171509585489,5.3779752031258414e-05,1.75,0.30000000000000004,0.05,True,60.0,0.05
87,0.834,2025-05-19 20:30:04.377964,2025-05-19 20:30:26.314528,0 days 00:00:21.936564,True,4.0,COMPLETE,0.6,0.99,0.99,0.0003947885400972102,0.00036401753373282173,1.75,0.30000000000000004,0.05,False,,0.25
102,0.834,2025-05-19 20:35:18.993682,2025-05-19 20:35:43.781078,0 days 00:00:24.787396,True,1.5,COMPLETE,0.6,0.99,0.99,0.0004378111399658372,0.000986277721547305,0.65,0.30000000000000004,0.05,True,150.0,0.3
123,0.834,2025-05-19 20:43:09.447459,2025-05-19 20:43:32.310340,0 days 00:00:22.862881,True,3.5,COMPLETE,0.6,0.995,0.995,0.0002719962481267223,0.007019904859000216,1.9000000000000001,0.25,0.05,True,90.0,0.3
63,0.8336666666666667,2025-05-19 20:21:52.145394,2025-05-19 20:22:10.780126,0 days 00:00:18.634732,False,4.5,COMPLETE,0.6,0.8,0.8,0.0005933645157822021,0.010208165222671713,1.85,0.30000000000000004,0.1,True,150.0,0.3
97,0.8336666666666667,2025-05-19 20:33:31.358121,2025-05-19 20:33:52.304192,0 days 00:00:20.946071,True,5.0,COMPLETE,0.6,0.8,0.8,0.0006029265305611102,0.011313145586466662,1.9500000000000002,0.30000000000000004,0.05,False,,0.0
101,0.8336666666666667,2025-05-19 20:34:57.122832,2025-05-19 20:35:18.953523,0 days 00:00:21.830691,True,1.25,COMPLETE,0.6,0.99,0.99,0.0010471203856903088,0.0006711044720473493,0.5,0.30000000000000004,0.05,True,150.0,0.3
32,0.8336666666666667,2025-05-19 20:11:42.136395,2025-05-19 20:12:03.929390,0 days 00:00:21.792995,True,2.5,COMPLETE,0.6,0.9,0.9,0.0004946269150887474,5.583311557668563e-05,1.4500000000000002,0.35,0.05,True,30.0,0.05
43,0.8336666666666667,2025-05-19 20:15:25.581598,2025-05-19 20:15:47.096588,0 days 00:00:21.514990,True,4.75,COMPLETE,0.6,0.99,0.99,0.0002838551429746463,0.006554779274103864,1.7000000000000002,0.35,0.05,False,,0.1
24,0.8336666666666667,2025-05-19 20:09:08.585400,2025-05-19 20:09:27.032778,0 days 00:00:18.447378,True,5.0,COMPLETE,0.6,0.9,0.9,0.0011866777503802132,0.00023071945280641384,1.9000000000000001,0.2,0.1,True,30.0,0.05
69,0.8333333333333334,2025-05-19 20:23:52.725455,2025-05-19 20:24:15.325235,0 days 00:00:22.599780,True,3.25,COMPLETE,0.6,0.9,0.9,0.0003851187332117414,0.00029739533382122966,1.55,0.25,0.15,True,30.0,0.2
71,0.8333333333333334,2025-05-19 20:24:34.125241,2025-05-19 20:24:56.403086,0 days 00:00:22.277845,True,0.75,COMPLETE,0.6,0.995,0.995,0.0011330293086102923,0.0023413118926133053,0.95,0.15000000000000002,0.05,False,,0.25
116,0.8333333333333334,2025-05-19 20:40:30.872999,2025-05-19 20:40:53.681001,0 days 00:00:22.808002,True,3.75,COMPLETE,0.6,0.995,0.995,0.0002002186907798082,0.03798822927452824,1.9500000000000002,0.25,0.05,True,90.0,0.3
90,0.8333333333333334,2025-05-19 20:31:09.937026,2025-05-19 20:31:28.607136,0 days 00:00:18.670110,True,2.5,COMPLETE,0.6,0.99,0.99,0.0010715372336957435,0.0019258366314234348,1.8,0.2,0.15,False,,0.2
84,0.8330000000000001,2025-05-19 20:29:07.291902,2025-05-19 20:29:24.561535,0 days 00:00:17.269633,True,0.25,COMPLETE,0.6,0.8,0.8,0.004235180074482667,0.004630215249499462,1.5,0.35,0.1,False,,0.25
81,0.8329999999999999,2025-05-19 20:28:11.134115,2025-05-19 20:28:29.322326,0 days 00:00:18.188211,True,4.5,COMPLETE,0.6,0.8,0.8,0.0018655237640886136,0.0028518508886628538,1.4500000000000002,0.30000000000000004,0.15,False,,0.25
95,0.8329999999999999,2025-05-19 20:32:48.588823,2025-05-19 20:33:09.993892,0 days 00:00:21.405069,True,4.25,COMPLETE,0.6,0.99,0.99,0.0008141750912185406,0.001354661403169486,1.6500000000000001,0.2,0.05,True,90.0,0.15000000000000002
98,0.8329999999999999,2025-05-19 20:33:52.342654,2025-05-19 20:34:12.570411,0 days 00:00:20.227757,True,4.25,COMPLETE,0.6,0.9,0.9,0.0021458933986403784,0.00611454714002543,1.7000000000000002,0.25,0.1,False,,0.25
82,0.8329999999999999,2025-05-19 20:28:29.363282,2025-05-19 20:28:47.292113,0 days 00:00:17.928831,True,4.25,COMPLETE,0.6,0.8,0.8,0.0023559239289830626,0.0018018866599057556,1.6500000000000001,0.30000000000000004,0.1,False,,0.25
54,0.8329999999999999,2025-05-19 20:19:01.244227,2025-05-19 20:19:23.038808,0 days 00:00:21.794581,True,4.75,COMPLETE,0.6,0.99,0.99,0.0004904300036594987,0.000302843822793435,1.8,0.35,0.05,False,,0.05
28,0.8326666666666668,2025-05-19 20:10:23.313867,2025-05-19 20:10:42.500877,0 days 00:00:19.187010,True,1.0,COMPLETE,0.6,0.9,0.9,0.0011996395385038057,2.400395125190422e-05,0.7,0.1,0.05,False,,0.0
52,0.8326666666666666,2025-05-19 20:18:22.686112,2025-05-19 20:18:41.880174,0 days 00:00:19.194062,True,4.25,COMPLETE,0.6,0.99,0.99,0.000610484402861832,0.004435227477224923,2.0,0.25,0.05,False,,0.1
47,0.8323333333333333,2025-05-19 20:16:49.583119,2025-05-19 20:17:11.567414,0 days 00:00:21.984295,True,3.5,COMPLETE,0.6,0.995,0.995,0.0003755180360126486,0.0005002233030531022,0.9,0.35,0.1,False,,0.3
41,0.8323333333333333,2025-05-19 20:14:45.628685,2025-05-19 20:15:03.615732,0 days 00:00:17.987047,True,4.0,COMPLETE,0.6,0.995,0.995,0.000933518666194426,0.0006188095153080885,1.9000000000000001,0.25,0.05,False,,0.05
35,0.8323333333333333,2025-05-19 20:12:50.319676,2025-05-19 20:13:11.462129,0 days 00:00:21.142453,True,4.0,COMPLETE,0.5,0.9,0.9,0.001189418740498099,0.0002431452221036743,1.9000000000000001,0.2,0.0,True,60.0,0.1
64,0.8323333333333333,2025-05-19 20:22:10.818798,2025-05-19 20:22:30.104173,0 days 00:00:19.285375,False,3.25,COMPLETE,0.6,0.9,0.9,0.001366034209576812,0.001698314483852231,0.6,0.25,0.0,True,90.0,0.3
61,0.8323333333333333,2025-05-19 20:21:11.885304,2025-05-19 20:21:30.004500,0 days 00:00:18.119196,False,4.0,COMPLETE,0.6,0.8,0.8,0.0019091828061262393,0.0005944553156311094,1.75,0.30000000000000004,0.0,True,120.0,0.3
117,0.8323333333333333,2025-05-19 20:40:53.722778,2025-05-19 20:41:15.446273,0 days 00:00:21.723495,False,3.5,COMPLETE,0.6,0.995,0.995,0.00026918639979929456,0.014779555554738302,2.0,0.25,0.05,True,90.0,0.3
89,0.8323333333333333,2025-05-19 20:30:49.447504,2025-05-19 20:31:09.897204,0 days 00:00:20.449700,True,3.75,COMPLETE,0.6,0.995,0.995,0.0009173957580304375,0.001137062144126318,1.75,0.35,0.05,True,90.0,0.3
75,0.8323333333333333,2025-05-19 20:26:00.316970,2025-05-19 20:26:23.042143,0 days 00:00:22.725173,True,5.0,COMPLETE,0.6,0.9,0.9,0.0005360187389676131,0.00019392084676785873,0.8500000000000001,0.2,0.05,False,,0.2
120,0.8323333333333333,2025-05-19 20:42:01.114506,2025-05-19 20:42:23.983202,0 days 00:00:22.868696,True,3.75,COMPLETE,0.6,0.995,0.995,0.00012756377324799796,0.012047078330316895,1.85,0.25,0.05,True,90.0,0.3
72,0.8323333333333333,2025-05-19 20:24:56.441438,2025-05-19 20:25:16.549267,0 days 00:00:20.107829,True,0.75,COMPLETE,0.6,0.995,0.995,0.0016081617717081367,0.005435965955308605,0.9,0.1,0.05,False,,0.2
104,0.832,2025-05-19 20:36:02.522321,2025-05-19 20:36:25.285554,0 days 00:00:22.763233,True,2.0,COMPLETE,0.6,0.99,0.99,0.0006581151574787743,0.0002305832534343295,0.75,0.30000000000000004,0.05,True,150.0,0.25
31,0.832,2025-05-19 20:11:21.529580,2025-05-19 20:11:42.098094,0 days 00:00:20.568514,True,3.5,COMPLETE,0.6,0.9,0.9,0.00048161283831090883,0.00017147857640387686,1.75,0.30000000000000004,0.05,True,60.0,0.05
103,0.832,2025-05-19 20:35:43.821584,2025-05-19 20:36:02.480892,0 days 00:00:18.659308,True,0.75,COMPLETE,0.6,0.99,0.99,0.001256889245999869,0.0024887327239789562,1.25,0.35,0.05,True,120.0,0.3
