number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
94,0.522,10.17301179,13:06.4,13:37.6,0 days 00:00:31.176663,lamp,FALSE,0.65,0,6,0.995,batch,FALSE,FALSE,0,,5,TRUE,5,TRUE,0.05,1,FALSE,0.75,3,base,FALSE,,1,COMPLETE
82,0.481333333,8.773326895,07:28.2,07:55.1,0 days 00:00:26.902641,,,0.5,0.7,3,0.995,,FALSE,FALSE,0.25,,1,FALSE,,,,,,,,,TRUE,0.35,1,COMPLETE
90,0.463666667,8.024156431,11:19.9,11:44.5,0 days 00:00:24.646430,,,0.65,0.5,3,0.995,,FALSE,TRUE,0,0.3,1,FALSE,,,,,,,,,TRUE,0.25,1,COMPLETE
59,0.459666667,12.4405373,55:53.6,56:31.5,0 days 00:00:37.926916,lamp,TRUE,,0.85,2,0.9,,,FALSE,0.3,,0,TRUE,2,FALSE,,0,TRUE,0.75,1,group,TRUE,0.05,1,COMPLETE
12,0.455666667,8.52970861,32:10.7,32:36.8,0 days 00:00:26.116817,,,0.8,0.3,6,0.9,,TRUE,FALSE,0.25,,5,FALSE,,,,,,,,,FALSE,,0,COMPLETE
71,0.455666667,8.987178748,02:23.8,02:51.3,0 days 00:00:27.540387,,,0.1,0.3,6,0.9,,TRUE,FALSE,0.25,,5,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
73,0.385666667,8.612501624,03:25.2,03:51.6,0 days 00:00:26.407726,,,0.15,0.15,3,0.99,,FALSE,FALSE,0.1,,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
95,0.373,8.532743637,13:37.6,14:03.7,0 days 00:00:26.163754,,,0.35,0.3,4,0.99,,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,TRUE,0.1,1,COMPLETE
57,0.362666667,8.2081689,54:48.3,55:15.6,0 days 00:00:27.301283,,,0.7,0.25,5,0.995,,FALSE,FALSE,0,,1,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
38,0.321333333,8.566193902,45:21.4,45:47.7,0 days 00:00:26.270488,,,0.6,0.55,6,0.995,batch,TRUE,TRUE,0.2,0.1,0,FALSE,,,,,,,,,TRUE,0.25,0,COMPLETE
34,0.319,10.51976531,43:13.8,43:46.0,0 days 00:00:32.215324,lamp,TRUE,0.15,0.7,3,0.995,,FALSE,TRUE,0.25,0.45,0,TRUE,4,TRUE,0.45,0,FALSE,0.75,2,bnscale,TRUE,0.1,0,COMPLETE
13,0.304333333,8.704072914,32:36.8,33:03.5,0 days 00:00:26.644300,,,0.45,0.6,6,0.9,,FALSE,FALSE,0.05,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
64,0.301,8.616251385,58:43.4,59:09.9,0 days 00:00:26.415497,,,0.15,0.5,2,0.995,,FALSE,FALSE,0,,0,FALSE,,,,,,,,,TRUE,0.35,1,COMPLETE
56,0.286,8.437324804,54:22.4,54:48.2,0 days 00:00:25.875272,,,0.75,0.9,6,0.99,layer,FALSE,TRUE,0.2,0.15,0,FALSE,,,,,,,,,TRUE,0.25,1,COMPLETE
97,0.283666667,10.5458559,14:29.9,15:02.1,0 days 00:00:32.281325,group,FALSE,0.5,0.25,6,0.9,batch,FALSE,FALSE,0.25,,1,TRUE,5,FALSE,,0,FALSE,0.9,3,bnscale,FALSE,,1,COMPLETE
20,0.278,10.80731124,35:51.3,36:24.4,0 days 00:00:33.066078,lamp,FALSE,0.45,0.7,6,0.99,batch,FALSE,FALSE,0.1,,1,TRUE,4,FALSE,,2,FALSE,0.75,1,base,FALSE,,0,COMPLETE
30,0.273,12.40605391,41:12.3,41:50.2,0 days 00:00:37.874082,group,FALSE,,0.3,5,0.9,,,TRUE,0,0.25,5,TRUE,2,FALSE,,2,TRUE,0.85,3,bnscale,TRUE,0.4,0,COMPLETE
