number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
99,0.810333333,10.88479103,25:54.0,26:27.3,0 days 00:00:33.320986,group,TRUE,0.25,0.9,2,0.99,batch,TRUE,TRUE,0.3,0.35,5,TRUE,3,FALSE,,3,FALSE,0.7,2,bnscale,TRUE,0.2,1,COMPLETE
26,0.799666667,9.304369261,48:09.5,48:38.0,0 days 00:00:28.486832,,,0.6,0.75,6,0.99,layer,FALSE,TRUE,0.15,0.3,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
41,0.799333333,8.906392341,55:42.0,56:09.3,0 days 00:00:27.268125,,,0.55,0.8,4,0.9,batch,FALSE,FALSE,0.3,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
96,0.791666667,8.768310203,24:22.3,24:49.1,0 days 00:00:26.856942,,,0.7,0.8,4,0.9,batch,FALSE,TRUE,0.15,0.05,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
9,0.783333333,10.63342227,38:42.8,39:15.3,0 days 00:00:32.532974,group,FALSE,0.45,0.45,2,0.995,layer,FALSE,FALSE,0.05,,0,TRUE,3,TRUE,0.05,4,FALSE,0.5,4,group,TRUE,0,0,COMPLETE
42,0.780333333,11.71853579,56:09.3,56:45.1,0 days 00:00:35.752958,lamp,TRUE,,0.85,5,0.99,,,FALSE,0.3,,4,TRUE,2,TRUE,0.4,4,TRUE,0.75,1,bnscale,FALSE,,0,COMPLETE
25,0.776,9.212570663,47:41.3,48:09.5,0 days 00:00:28.235320,,,0.75,0.85,6,0.995,layer,FALSE,TRUE,0.3,0.45,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
24,0.774333333,10.86243528,47:08.0,47:41.2,0 days 00:00:33.241131,fpgm,TRUE,0.45,0.3,5,0.995,,FALSE,FALSE,0.2,,5,TRUE,4,TRUE,0.1,1,FALSE,0.6,3,group,FALSE,,0,COMPLETE
4,0.772666667,11.82591218,36:03.0,36:39.3,0 days 00:00:36.284248,group,FALSE,,0.05,5,0.995,,,TRUE,0.2,0.35,5,TRUE,5,TRUE,0.25,2,TRUE,0.8,1,group,TRUE,0.5,0,COMPLETE
93,0.756333333,8.249561882,22:56.4,23:21.8,0 days 00:00:25.321495,,,0.2,0.6,5,0.99,,FALSE,TRUE,0.15,0.45,5,FALSE,,,,,,,,,FALSE,,1,COMPLETE
13,0.716333333,9.035890234,41:04.9,41:32.6,0 days 00:00:27.673954,,,0.5,0.3,2,0.99,,TRUE,TRUE,0.05,0.4,1,FALSE,,,,,,,,,TRUE,0.3,0,COMPLETE
78,0.711666667,9.055229569,14:54.0,15:21.8,0 days 00:00:27.780545,,,0.15,0.9,4,0.9,,FALSE,FALSE,0,,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
