model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8209,0.8021,0.7494,0.549,0.3919
PRISM(sage),0.7859,0.7798,0.7731,0.5275,0.388
classic_gnn(gcn),0.7978,0.7912,0.7546,0.66,0.4405
classic_gnn(sage),0.7271,0.7305,0.6747,0.5279,0.3992
truned_gnn(mpp)(gcn),0.8043,0.7949,0.7599,0.6636,0.4248
truned_gnn(mpp)(sage),0.7696,0.7687,0.742,0.6592,0.3885
