model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8502,0.831,0.7577,0.5441,0.2519
PRISM(sage),0.8316,0.7898,0.7384,0.5261,0.2241
classic_gnn(gcn),0.8361,0.8229,0.752,0.6694,0.5304
classic_gnn(sage),0.8061,0.755,0.6556,0.4922,0.4672
truned_gnn(mpp)(gcn),0.8377,0.8336,0.7759,0.7032,0.6052
truned_gnn(mpp)(sage),0.8252,0.7997,0.7494,0.6471,0.4419
