number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_power,params_imp_type,params_norm,params_num_layers,params_prune_type,params_residual,state
36,0.824666667,54:16.9,55:01.1,0 days 00:00:44.169370,0.7,7,fpgm,,3,bnscale,TRUE,COMPLETE
69,0.824666667,20:46.9,21:41.0,0 days 00:00:54.109624,0.6,8,lamp,layer,3,base,TRUE,COMPLETE
47,0.824333333,03:03.7,04:05.8,0 days 00:01:02.167619,0.6,8,fpgm,,4,bnscale,TRUE,COMPLETE
58,0.824,11:58.4,12:55.7,0 days 00:00:57.248197,0.6,8,lamp,,4,base,TRUE,COMPLETE
14,0.823666667,35:29.9,36:08.5,0 days 00:00:38.532699,0.4,9,lamp,,2,group,TRUE,COMPLETE
25,0.822333333,44:38.2,45:34.4,0 days 00:00:56.295522,0.6,8,fpgm,,4,base,TRUE,COMPLETE
29,0.820666667,48:07.8,49:08.3,0 days 00:01:00.514731,0.5,8,group,layer,4,base,TRUE,COMPLETE
70,0.820666667,21:41.1,22:31.3,0 days 00:00:50.198990,0.7,7,fpgm,,3,base,TRUE,COMPLETE
67,0.820333333,19:03.2,20:06.2,0 days 00:01:02.985839,0.6,8,fpgm,,4,base,TRUE,COMPLETE
16,0.819333333,37:31.2,38:06.5,0 days 00:00:35.320129,0.6,8,lamp,,2,group,FALSE,COMPLETE
98,0.819333333,43:42.8,45:07.5,0 days 00:01:24.710636,0.3,8,lamp,,6,base,TRUE,COMPLETE
68,0.818666667,20:06.2,20:46.9,0 days 00:00:40.669286,0.5,9,fpgm,,2,base,TRUE,COMPLETE
90,0.818333333,37:14.4,38:00.3,0 days 00:00:45.895097,0.6,6,fpgm,,3,base,TRUE,COMPLETE
99,0.818,45:07.5,45:44.2,0 days 00:00:36.675215,0.6,8,fpgm,,2,base,TRUE,COMPLETE
60,0.817666667,13:45.6,14:20.7,0 days 00:00:35.111126,0.6,8,group,,2,group,TRUE,COMPLETE
5,0.816333333,27:27.0,28:11.5,0 days 00:00:44.558988,0.2,7,lamp,,3,bnscale,FALSE,COMPLETE
50,0.814666667,05:39.7,06:32.1,0 days 00:00:52.387119,0.8,7,fpgm,layer,3,group,FALSE,COMPLETE
