number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
26,0.729,9.36741247,29:08.9,29:37.7,0 days 00:00:28.762412,,,0.7,0.1,4,0.9,layer,TRUE,FALSE,0.2,,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
36,0.728666667,9.967427828,34:09.5,34:40.1,0 days 00:00:30.583870,,,0.6,0.15,6,0.99,batch,TRUE,TRUE,0.15,0.45,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
60,0.728666667,8.588407973,45:50.0,46:16.4,0 days 00:00:26.423801,,,0.15,0.3,5,0.995,,TRUE,TRUE,0,0,4,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
33,0.71,9.327902414,32:41.5,33:10.2,0 days 00:00:28.640366,,,0.2,0.75,5,0.99,,TRUE,FALSE,0.05,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
30,0.701333333,10.79512677,31:11.3,31:44.4,0 days 00:00:33.104631,lamp,TRUE,,0.05,5,0.9,,,FALSE,0.1,,2,TRUE,3,FALSE,,4,TRUE,0.9,2,bnscale,FALSE,,0,COMPLETE
45,0.699,10.46968673,38:35.7,39:07.8,0 days 00:00:32.146596,group,TRUE,0.65,0.65,5,0.99,batch,TRUE,FALSE,0.05,,0,TRUE,2,FALSE,,0,FALSE,0.5,1,bnscale,FALSE,,0,COMPLETE
81,0.693,10.6182233,56:05.0,56:37.6,0 days 00:00:32.613746,lamp,FALSE,,0.2,4,0.99,,,FALSE,0.1,,0,TRUE,3,TRUE,0.1,3,TRUE,0.7,4,group,TRUE,0.25,1,COMPLETE
85,0.681666667,10.67498519,58:04.0,58:36.8,0 days 00:00:32.792775,group,FALSE,0.3,0.15,6,0.995,batch,FALSE,FALSE,0.2,,2,TRUE,3,TRUE,0.1,2,FALSE,0.9,1,base,TRUE,0.45,1,COMPLETE
22,0.674666667,9.225296394,27:01.5,27:29.8,0 days 00:00:28.337324,,,0.2,0.45,4,0.995,,TRUE,FALSE,0.05,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
98,0.669333333,10.8363511,04:54.8,05:28.0,0 days 00:00:33.237292,fpgm,TRUE,,0.45,5,0.9,,,FALSE,0.3,,1,TRUE,5,TRUE,0.5,0,TRUE,0.8,3,base,TRUE,0.35,1,COMPLETE
88,0.664333333,10.61729484,59:44.0,00:16.6,0 days 00:00:32.605119,lamp,TRUE,,0.05,2,0.9,,,FALSE,0.3,,1,TRUE,3,TRUE,0.5,3,TRUE,0.65,5,bnscale,TRUE,0.2,1,COMPLETE
29,0.663666667,11.19498563,30:37.0,31:11.3,0 days 00:00:34.344764,fpgm,TRUE,0.55,0.2,2,0.995,,TRUE,TRUE,0.25,0.5,1,TRUE,4,FALSE,,1,FALSE,0.55,4,base,FALSE,,0,COMPLETE
7,0.660666667,10.56062568,19:24.7,19:57.1,0 days 00:00:32.395439,lamp,TRUE,,0.2,6,0.99,,,TRUE,0.25,0.3,2,TRUE,2,TRUE,0.15,1,TRUE,0.7,2,base,TRUE,0.4,0,COMPLETE
25,0.652333333,10.71160166,28:36.0,29:08.9,0 days 00:00:32.866980,fpgm,TRUE,,0.5,4,0.9,,,TRUE,0.05,0.25,3,TRUE,2,FALSE,,0,TRUE,0.8,5,bnscale,FALSE,,0,COMPLETE
49,0.636666667,8.742531614,40:30.3,40:57.2,0 days 00:00:26.916419,,,0.65,0.85,2,0.99,,FALSE,TRUE,0.3,0.4,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
78,0.587,9.035338646,54:40.8,55:08.6,0 days 00:00:27.808622,,,0.2,0.55,2,0.99,,FALSE,TRUE,0.25,0.1,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
21,0.583333333,9.248900523,26:27.9,27:01.4,0 days 00:00:33.513687,,,0.35,0.9,6,0.995,,TRUE,TRUE,0.1,0.45,2,FALSE,,,,,,,,,TRUE,0,0,COMPLETE
74,0.495,10.95130778,52:40.8,53:14.4,0 days 00:00:33.578026,lamp,FALSE,,0.2,5,0.995,,,FALSE,0.15,,1,TRUE,2,TRUE,0.15,3,TRUE,0.85,1,base,FALSE,,1,COMPLETE
58,0.46,9.549463635,44:48.7,45:18.1,0 days 00:00:29.402585,group,TRUE,0.7,0.15,2,0.9,,FALSE,TRUE,0.2,0.15,1,TRUE,5,FALSE,,1,FALSE,0.7,2,group,FALSE,,1,COMPLETE
40,0.43,10.74812467,36:04.7,36:37.7,0 days 00:00:32.950240,lamp,TRUE,,0.2,5,0.9,,,FALSE,0.25,,1,TRUE,2,FALSE,,3,TRUE,0.5,2,group,FALSE,,0,COMPLETE
83,0.381666667,8.501268571,57:10.8,57:37.0,0 days 00:00:26.155976,,,0.45,0.9,3,0.9,,FALSE,TRUE,0.3,0.3,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
9,0.371,10.62017097,20:29.8,21:02.4,0 days 00:00:32.581239,group,TRUE,,0.25,5,0.99,,,TRUE,0.1,0.45,0,TRUE,2,TRUE,0.15,5,TRUE,0.85,2,bnscale,FALSE,,0,COMPLETE
71,0.368666667,11.09456954,51:09.1,51:43.1,0 days 00:00:34.019312,fpgm,TRUE,,0.55,5,0.9,,,FALSE,0.25,,0,TRUE,3,TRUE,0.4,4,TRUE,0.65,1,group,FALSE,,1,COMPLETE
42,0.303,10.68981277,37:06.6,37:39.4,0 days 00:00:32.775945,group,TRUE,,0.05,6,0.99,,,FALSE,0.1,,5,TRUE,3,TRUE,0.15,5,TRUE,0.55,4,base,FALSE,,0,COMPLETE
94,0.300666667,12.32443091,02:46.9,03:24.6,0 days 00:00:37.707032,lamp,TRUE,,0.2,6,0.995,,,TRUE,0.1,0.3,1,TRUE,2,FALSE,,4,TRUE,0.65,3,bnscale,FALSE,,1,COMPLETE
6,0.296666667,10.89312254,18:51.3,19:24.7,0 days 00:00:33.389608,group,TRUE,,0.15,6,0.9,,,FALSE,0.05,,2,TRUE,2,FALSE,,1,TRUE,0.85,3,bnscale,TRUE,0.25,0,COMPLETE
92,0.291666667,10.09753449,01:42.5,02:13.6,0 days 00:00:31.035604,fpgm,TRUE,0.2,0.05,4,0.9,,FALSE,TRUE,0.05,0.15,0,TRUE,3,FALSE,,2,FALSE,0.55,5,group,TRUE,0,1,COMPLETE
16,0.290333333,10.69803091,23:57.3,24:30.1,0 days 00:00:32.820643,group,TRUE,,0.15,6,0.995,,,FALSE,0.2,,2,TRUE,4,FALSE,,2,TRUE,0.55,5,base,TRUE,0,0,COMPLETE
77,0.198666667,9.441415621,54:11.8,54:40.8,0 days 00:00:29.007658,,,0.25,0.55,6,0.9,,TRUE,FALSE,0.2,,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
12,0.147666667,8.766713628,22:02.6,22:29.6,0 days 00:00:26.944689,,,0.25,0.55,6,0.99,,FALSE,FALSE,0.2,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
