2025-04-24 22:05:41 - sandbox - [INFO]: Test Logger Initialized!
2025-04-24 22:05:41 - sandbox - [ERROR]: Test Error Message!
2025-04-24 22:05:41 - sandbox - [WARNING]: Test Warning Message!
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 01, Loss: 1.273, valLoss: 1.333, Train: 63.33%, Valid: 62.80%, Test: 60.30%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 05, Loss: 1.014, valLoss: 0.873, Train: 70.00%, Valid: 64.40%, Test: 62.60%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 06, Loss: 0.927, valLoss: 0.843, Train: 70.00%, Valid: 65.60%, Test: 63.40%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 07, Loss: 0.927, valLoss: 0.824, Train: 80.00%, Valid: 70.60%, Test: 69.00%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 10, Loss: 0.816, valLoss: 0.940, Train: 78.33%, Valid: 61.20%, Test: 66.10%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 12, Loss: 0.647, valLoss: 0.714, Train: 88.33%, Valid: 76.20%, Test: 75.90%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 13, Loss: 0.531, valLoss: 0.671, Train: 85.00%, Valid: 77.80%, Test: 76.10%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 20, Loss: 0.187, valLoss: 0.949, Train: 95.00%, Valid: 72.20%, Test: 76.00%, 
2025-04-24 22:05:42 - engine - [INFO]: Epoch: 30, Loss: 0.165, valLoss: 1.516, Train: 96.67%, Valid: 71.20%, Test: 72.90%, 
2025-04-24 22:05:43 - engine - [INFO]: Epoch: 40, Loss: 0.060, valLoss: 1.640, Train: 96.67%, Valid: 71.80%, Test: 73.60%, 
2025-04-24 22:05:43 - engine - [INFO]: Epoch: 50, Loss: 0.147, valLoss: 1.620, Train: 96.67%, Valid: 73.60%, Test: 73.70%, 
2025-04-24 22:05:43 - engine - [INFO]: Epoch: 60, Loss: 0.080, valLoss: 1.948, Train: 98.33%, Valid: 68.40%, Test: 72.00%, 
2025-04-24 22:05:43 - engine - [INFO]: Epoch: 70, Loss: 0.054, valLoss: 2.039, Train: 98.33%, Valid: 67.60%, Test: 72.80%, 
2025-04-24 22:05:43 - engine - [INFO]: Epoch: 80, Loss: 0.069, valLoss: 2.215, Train: 100.00%, Valid: 69.20%, Test: 73.30%, 
2025-04-24 22:05:44 - engine - [INFO]: Epoch: 90, Loss: 0.065, valLoss: 2.350, Train: 98.33%, Valid: 67.00%, Test: 72.60%, 
2025-04-24 22:05:44 - engine - [INFO]: Epoch: 100, Loss: 0.047, valLoss: 2.334, Train: 98.33%, Valid: 66.20%, Test: 71.40%, 
2025-04-24 22:05:44 - engine - [INFO]: Epoch: 110, Loss: 0.022, valLoss: 1.841, Train: 100.00%, Valid: 71.80%, Test: 74.90%, 
2025-04-24 22:05:44 - engine - [INFO]: Epoch: 120, Loss: 0.215, valLoss: 1.677, Train: 100.00%, Valid: 71.80%, Test: 74.50%, 
2025-04-24 22:05:44 - engine - [INFO]: Epoch: 130, Loss: 0.051, valLoss: 1.680, Train: 98.33%, Valid: 72.40%, Test: 73.80%, 
2025-04-24 22:05:44 - engine - [INFO]: Epoch: 140, Loss: 0.030, valLoss: 1.908, Train: 98.33%, Valid: 71.20%, Test: 74.20%, 
2025-04-24 22:05:45 - engine - [INFO]: Epoch: 150, Loss: 0.032, valLoss: 2.147, Train: 98.33%, Valid: 70.00%, Test: 70.90%, 
2025-04-24 22:05:45 - engine - [INFO]: Epoch: 160, Loss: 0.119, valLoss: 2.338, Train: 100.00%, Valid: 66.00%, Test: 70.60%, 
2025-04-24 22:05:45 - engine - [INFO]: Epoch: 170, Loss: 0.046, valLoss: 2.015, Train: 98.33%, Valid: 69.40%, Test: 73.50%, 
2025-04-24 22:05:45 - engine - [INFO]: Epoch: 180, Loss: 0.104, valLoss: 2.279, Train: 98.33%, Valid: 68.40%, Test: 71.60%, 
2025-04-24 22:05:45 - engine - [INFO]: Epoch: 190, Loss: 0.102, valLoss: 1.919, Train: 98.33%, Valid: 71.80%, Test: 73.60%, 
2025-04-24 22:05:45 - engine - [INFO]: Epoch: 200, Loss: 0.062, valLoss: 2.614, Train: 100.00%, Valid: 63.60%, Test: 69.00%, 
2025-04-24 22:05:46 - engine - [INFO]: Epoch: 210, Loss: 0.081, valLoss: 2.182, Train: 100.00%, Valid: 68.00%, Test: 73.10%, 
2025-04-24 22:05:46 - engine - [INFO]: Epoch: 220, Loss: 0.026, valLoss: 1.796, Train: 100.00%, Valid: 72.00%, Test: 73.50%, 
2025-04-24 22:05:46 - engine - [INFO]: Epoch: 230, Loss: 0.081, valLoss: 2.078, Train: 100.00%, Valid: 70.80%, Test: 75.00%, 
2025-04-24 22:05:46 - engine - [INFO]: Epoch: 240, Loss: 0.010, valLoss: 2.155, Train: 98.33%, Valid: 70.40%, Test: 74.00%, 
2025-04-24 22:05:46 - engine - [INFO]: Epoch: 250, Loss: 0.120, valLoss: 2.316, Train: 100.00%, Valid: 69.60%, Test: 70.90%, 
2025-04-24 22:05:47 - engine - [INFO]: Epoch: 260, Loss: 0.092, valLoss: 1.927, Train: 100.00%, Valid: 69.40%, Test: 72.50%, 
2025-04-24 22:05:47 - engine - [INFO]: Epoch: 270, Loss: 0.078, valLoss: 2.232, Train: 100.00%, Valid: 68.60%, Test: 72.10%, 
2025-04-24 22:05:47 - engine - [INFO]: Epoch: 280, Loss: 0.112, valLoss: 1.820, Train: 100.00%, Valid: 64.80%, Test: 70.10%, 
2025-04-24 22:05:47 - engine - [INFO]: Epoch: 290, Loss: 0.017, valLoss: 2.167, Train: 100.00%, Valid: 69.00%, Test: 72.50%, 
