number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
52,0.7726469414514566,0.5,2025-05-17 15:48:14.528782,2025-05-17 15:49:06.784369,0 days 00:00:52.255587,cwd,False,3.25,1,COMPLETE,0.5,0.8,0.8,0.00013623021721706661,0.0009470591537980832,5.0,5.0,0.15,False,,0.05
110,0.7692263839005756,0.5,2025-05-17 16:32:14.831281,2025-05-17 16:33:02.558541,0 days 00:00:47.727260,cwd,False,0.25,2,COMPLETE,0.5,0.9,0.9,0.0003614112650515686,2.7005827260703177e-05,4.25,4.75,0.15,True,120.0,0.05
69,0.7684852630978849,0.7,2025-05-17 16:01:26.094311,2025-05-17 16:02:12.822561,0 days 00:00:46.728250,cwd,False,2.0,1,COMPLETE,0.7,0.995,0.995,0.004144419343854982,0.0001123534652829479,1.25,2.75,0.05,True,60.0,0.05
122,0.7682572259278263,0.5,2025-05-17 16:41:13.857072,2025-05-17 16:41:56.706883,0 days 00:00:42.849811,mse,True,,2,COMPLETE,0.5,0.995,0.995,0.00032811525130476777,0.010568327534769457,4.5,2.25,0.05,False,,0.15000000000000002
62,0.7678581608802236,0.7,2025-05-17 15:56:05.089116,2025-05-17 15:56:49.534628,0 days 00:00:44.445512,mse,False,,1,COMPLETE,0.7,0.99,0.99,0.0005359376933555188,0.0002871892480523373,5.0,3.25,0.0,True,120.0,0.05
46,0.7676301237101647,0.5,2025-05-17 15:38:26.315908,2025-05-17 15:39:57.615648,0 days 00:01:31.299740,mse,False,,0,COMPLETE,0.5,0.8,0.8,0.00766225954802949,0.002468525434407353,1.0,2.25,0.1,False,,0.3
119,0.7675731144176501,0.6,2025-05-17 16:39:06.846218,2025-05-17 16:39:50.093912,0 days 00:00:43.247694,mse,True,,2,COMPLETE,0.6,0.99,0.99,0.0017311613432839834,0.0006519773021422198,0.0,5.0,0.0,True,150.0,0.25
12,0.767231058662562,0.5,2025-05-17 14:57:18.634958,2025-05-17 14:58:10.190481,0 days 00:00:51.555523,cwd,False,0.25,0,COMPLETE,0.5,0.8,0.8,0.0005359376933555188,0.0009470591537980832,5.0,5.0,0.0,False,,0.05
37,0.7670600307850179,0.7,2025-05-17 15:24:51.694953,2025-05-17 15:26:39.189233,0 days 00:01:47.494280,cwd,False,4.5,0,COMPLETE,0.7,0.99,0.99,0.009410959349798851,2.4844799561922152e-05,0.5,0.25,0.1,False,,0.15000000000000002
2,0.7668319936149591,0.7,2025-05-17 14:48:36.348178,2025-05-17 14:50:03.039067,0 days 00:01:26.690889,mse,True,,0,COMPLETE,0.7,0.995,0.995,0.00762965875590045,0.0013975771444721845,3.0,2.75,0.15,False,,0.15000000000000002
108,0.7655207798871216,0.7,2025-05-17 16:30:46.300446,2025-05-17 16:31:30.332030,0 days 00:00:44.031584,mse,False,,2,COMPLETE,0.7,0.995,0.995,0.00762965875590045,0.0013975771444721845,1.75,2.75,0.15,False,,0.15000000000000002
93,0.7654637705946069,0.5,2025-05-17 16:19:14.125396,2025-05-17 16:20:02.249569,0 days 00:00:48.124173,cwd,True,3.0,1,COMPLETE,0.5,0.995,0.995,6.341642653939761e-05,0.00015904915266785736,2.75,4.75,0.05,False,,0.2
111,0.7647226497919162,0.7,2025-05-17 16:33:02.582488,2025-05-17 16:33:51.859604,0 days 00:00:49.277116,cwd,False,1.5,2,COMPLETE,0.7,0.9,0.9,0.0002512414995943113,0.011208121137240604,4.5,0.25,0.15,True,120.0,0.15000000000000002
16,0.7621572316287555,0.7,2025-05-17 15:00:54.168779,2025-05-17 15:01:51.978358,0 days 00:00:57.809579,cwd,False,3.75,0,COMPLETE,0.7,0.995,0.995,0.00020644297355122294,0.0006381048673458779,1.25,2.0,0.05,False,,0.2
1,0.7568553674248903,0.5,2025-05-17 14:47:06.888225,2025-05-17 14:48:36.325152,0 days 00:01:29.436927,mse,True,,0,COMPLETE,0.5,0.8,0.8,0.0004040449753351151,0.008932811444102202,0.5,0.25,0.05,True,90.0,0.05
