number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
86,0.9671014492753622,2025-05-20 16:13:54.473962,2025-05-20 16:15:19.223829,0 days 00:01:24.749867,False,4.0,COMPLETE,0.5,0.995,0.0006737547574132722,0.00013672230530701717,1.05,0.05,0.15,True,30.0,0.1
90,0.9670531400966184,2025-05-20 16:19:49.661401,2025-05-20 16:20:59.137729,0 days 00:01:09.476328,False,4.75,COMPLETE,0.5,0.99,0.000814204408245771,7.583036301822599e-05,1.15,0.0,0.15,True,60.0,0.15000000000000002
45,0.9670531400966184,2025-05-20 15:05:25.120304,2025-05-20 15:06:48.763142,0 days 00:01:23.642838,False,1.5,COMPLETE,0.5,0.995,0.0017954991350595726,0.00014788996762915696,1.0,0.15000000000000002,0.15,True,90.0,0.3
74,0.9670531400966184,2025-05-20 15:53:59.977459,2025-05-20 15:56:37.273855,0 days 00:02:37.296396,True,4.25,COMPLETE,0.5,0.995,0.00027411373557923184,0.0008973458853365689,1.35,0.0,0.05,True,60.0,0.1
103,0.9669565217391304,2025-05-20 16:39:20.220405,2025-05-20 16:41:27.308809,0 days 00:02:07.088404,False,3.0,COMPLETE,0.5,0.99,0.00022104886447876096,0.007487056491242218,0.9,0.0,0.15,True,30.0,0.15000000000000002
71,0.9669565217391304,2025-05-20 15:49:06.657518,2025-05-20 15:50:37.926443,0 days 00:01:31.268925,True,4.25,COMPLETE,0.5,0.995,0.0005884839520293277,0.001947043478243333,1.4,0.0,0.1,True,60.0,0.05
107,0.9669565217391304,2025-05-20 16:47:36.893252,2025-05-20 16:49:21.282137,0 days 00:01:44.388885,False,3.5,COMPLETE,0.5,0.99,0.0002177240088526174,0.010333948593702725,0.9,0.0,0.15,True,30.0,0.2
118,0.9669082125603864,2025-05-20 17:08:18.766895,2025-05-20 17:10:42.730102,0 days 00:02:23.963207,False,3.0,COMPLETE,0.5,0.99,0.0003306944383626555,0.003092770832574754,1.2000000000000002,0.25,0.15,True,30.0,0.2
81,0.9668599033816426,2025-05-20 16:06:20.710445,2025-05-20 16:07:35.270271,0 days 00:01:14.559826,False,4.0,COMPLETE,0.5,0.995,0.0009131277472264845,0.001325316563778485,1.15,0.0,0.15,True,90.0,0.1
92,0.9668599033816424,2025-05-20 16:22:06.929258,2025-05-20 16:23:17.155930,0 days 00:01:10.226672,False,4.25,COMPLETE,0.5,0.99,0.0009993442124692443,0.001675924415825579,1.35,0.0,0.15,True,30.0,0.15000000000000002
