number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
114,0.8993464052287582,0.5,2025-05-17 08:12:49.513100,2025-05-17 08:13:54.917670,0 days 00:01:05.404570,mse,False,,2,COMPLETE,0.5,0.9,0.9,1.3453981704321789e-05,9.481934365284815e-05,3.75,0.25,0.15,False,,0.3
120,0.89520697167756,0.5,2025-05-17 08:19:31.993102,2025-05-17 08:20:38.309875,0 days 00:01:06.316773,mse,False,,2,COMPLETE,0.5,0.995,0.995,1.72893582427281e-05,5.824830416631403e-05,4.0,0.25,0.0,False,,0.3
46,0.8919389978213509,0.5,2025-05-17 06:55:52.677662,2025-05-17 06:56:57.421612,0 days 00:01:04.743950,mse,False,,0,COMPLETE,0.5,0.8,0.8,0.002893387007218722,0.013356107922183051,4.0,0.5,0.15,False,,0.2
99,0.8901960784313726,0.5,2025-05-17 07:55:44.300570,2025-05-17 07:56:49.462488,0 days 00:01:05.161918,mse,False,,1,COMPLETE,0.5,0.99,0.99,1.72893582427281e-05,5.824830416631403e-05,4.0,2.25,0.0,True,120.0,0.15000000000000002
124,0.888235294117647,0.5,2025-05-17 08:24:05.497633,2025-05-17 08:25:10.347081,0 days 00:01:04.849448,mse,False,,2,COMPLETE,0.5,0.995,0.995,0.002893387007218722,0.013356107922183051,4.0,0.5,0.15,False,,0.2
73,0.8880174291938997,0.5,2025-05-17 07:26:07.682329,2025-05-17 07:27:18.534975,0 days 00:01:10.852646,cwd,False,3.5,1,COMPLETE,0.5,0.995,0.995,0.002893387007218722,0.013356107922183051,2.75,0.5,0.05,True,150.0,0.2
97,0.8880174291938997,0.7,2025-05-17 07:53:35.372242,2025-05-17 07:54:40.008323,0 days 00:01:04.636081,mse,True,,1,COMPLETE,0.7,0.9,0.9,0.0006637627741079424,0.0002860264110745126,0.25,5.0,0.05,False,,0.25
58,0.8856209150326797,0.5,2025-05-17 07:09:17.704127,2025-05-17 07:10:30.394730,0 days 00:01:12.690603,cwd,False,0.5,1,COMPLETE,0.5,0.99,0.99,0.00011077644927529004,6.261950262743797e-05,2.0,5.0,0.0,False,,0.1
0,0.8823529411764706,0.7,2025-05-17 06:01:05.547261,2025-05-17 06:03:08.151321,0 days 00:02:02.604060,cwd,False,0.75,0,COMPLETE,0.7,0.9,0.9,0.00015307038374338665,1.4053148833103791e-05,3.75,0.0,0.1,False,,0.3
90,0.8808278867102396,0.7,2025-05-17 07:45:37.488792,2025-05-17 07:46:48.939397,0 days 00:01:11.450605,cwd,False,0.25,1,COMPLETE,0.7,0.995,0.995,0.00024343306967519493,1.4053148833103791e-05,2.25,0.75,0.1,True,90.0,0.3
62,0.8797385620915033,0.6,2025-05-17 07:13:51.414136,2025-05-17 07:14:56.992769,0 days 00:01:05.578633,mse,True,,1,COMPLETE,0.6,0.9,0.9,0.00028903168986318077,6.539707246571149e-05,3.5,3.0,0.05,True,90.0,0.3
32,0.8795206971677559,0.6,2025-05-17 06:40:07.832256,2025-05-17 06:41:13.443336,0 days 00:01:05.611080,mse,True,,0,COMPLETE,0.6,0.9,0.9,0.00024343306967519493,8.63978166274877e-05,2.25,4.5,0.1,True,30.0,0.1
112,0.8790849673202615,0.6,2025-05-17 08:10:21.998315,2025-05-17 08:11:37.256502,0 days 00:01:15.258187,cwd,False,0.5,2,COMPLETE,0.6,0.995,0.995,0.00024343306967519493,1.4053148833103791e-05,2.25,0.75,0.1,False,,0.1
4,0.8786492374727669,0.7,2025-05-17 06:07:19.622397,2025-05-17 06:08:24.100740,0 days 00:01:04.478343,mse,False,,0,COMPLETE,0.7,0.9,0.9,0.009110104547421947,0.00012676940398079943,2.25,3.25,0.15,False,,0.3
30,0.8773420479302833,0.5,2025-05-17 06:37:51.268342,2025-05-17 06:38:57.547561,0 days 00:01:06.279219,mse,True,,0,COMPLETE,0.5,0.9,0.9,8.230487123048992e-05,0.0002860264110745126,0.25,1.75,0.1,False,,0.25
34,0.8764705882352941,0.6,2025-05-17 06:42:19.464336,2025-05-17 06:43:31.189368,0 days 00:01:11.725032,cwd,True,4.25,0,COMPLETE,0.6,0.8,0.8,0.00016101928679137275,3.348733027382839e-05,4.0,3.0,0.1,False,,0.1
106,0.8736383442265795,0.6,2025-05-17 08:03:36.481670,2025-05-17 08:04:41.815965,0 days 00:01:05.334295,mse,False,,2,COMPLETE,0.6,0.995,0.995,8.002187433711855e-05,1.5315335231041133e-05,2.25,2.75,0.05,False,,0.3
63,0.8734204793028323,0.6,2025-05-17 07:14:57.014761,2025-05-17 07:16:09.449990,0 days 00:01:12.435229,cwd,True,3.75,1,COMPLETE,0.6,0.995,0.995,0.00016101928679137275,3.348733027382839e-05,4.0,0.75,0.1,True,90.0,0.1
95,0.8712418300653595,0.5,2025-05-17 07:51:18.839870,2025-05-17 07:52:30.709215,0 days 00:01:11.869345,cwd,False,0.25,1,COMPLETE,0.5,0.99,0.99,0.0013910412093989658,0.05552736547863824,0.5,1.5,0.0,False,,0.1
21,0.870806100217865,0.5,2025-05-17 06:27:23.767562,2025-05-17 06:28:34.576027,0 days 00:01:10.808465,cwd,False,4.75,0,COMPLETE,0.5,0.99,0.99,0.0013910412093989658,0.05552736547863824,0.5,1.5,0.0,True,120.0,0.1
16,0.867755991285403,0.5,2025-05-17 06:21:38.218998,2025-05-17 06:22:43.843231,0 days 00:01:05.624233,mse,False,,0,COMPLETE,0.5,0.99,0.99,0.00011393089677837738,0.15591887178169245,4.0,2.25,0.0,True,150.0,0.15000000000000002
107,0.8675381263616558,0.7,2025-05-17 08:04:41.839235,2025-05-17 08:05:46.737412,0 days 00:01:04.898177,mse,False,,2,COMPLETE,0.7,0.9,0.9,0.0008981750471101405,5.786420185990948e-05,4.75,4.0,0.1,True,120.0,0.1
51,0.8649237472766885,0.7,2025-05-17 07:01:30.014136,2025-05-17 07:02:34.628144,0 days 00:01:04.614008,mse,True,,1,COMPLETE,0.7,0.99,0.99,0.0009083180536601079,7.507785793910936e-05,4.0,0.75,0.1,False,,0.05
50,0.8627450980392157,0.7,2025-05-17 07:00:18.146435,2025-05-17 07:01:29.989968,0 days 00:01:11.843533,cwd,False,2.0,1,COMPLETE,0.7,0.995,0.995,1.7361851302472318e-05,1.4053148833103791e-05,2.25,0.75,0.15,True,120.0,0.3
20,0.8618736383442266,0.6,2025-05-17 06:26:12.262303,2025-05-17 06:27:23.742272,0 days 00:01:11.479969,cwd,True,2.0,0,COMPLETE,0.6,0.9,0.9,0.00015321960597033775,6.539707246571149e-05,3.5,3.0,0.05,False,,0.3
3,0.8612200435729848,0.5,2025-05-17 06:06:07.818445,2025-05-17 06:07:19.599946,0 days 00:01:11.781501,cwd,False,1.0,0,COMPLETE,0.5,0.995,0.995,1.7361851302472318e-05,0.0015944974403044629,2.25,4.25,0.15,True,120.0,0.15000000000000002
10,0.8544662309368193,0.5,2025-05-17 06:14:52.616166,2025-05-17 06:16:03.792345,0 days 00:01:11.176179,cwd,False,2.5,0,COMPLETE,0.5,0.8,0.8,0.00026553568371818717,0.6476830235810516,2.25,5.0,0.1,True,60.0,0.2
23,0.8535947712418301,0.5,2025-05-17 06:29:46.690429,2025-05-17 06:30:51.310734,0 days 00:01:04.620305,mse,False,,0,COMPLETE,0.5,0.8,0.8,0.00033321042128950807,0.7196039872772401,1.0,2.25,0.1,True,150.0,0.05
37,0.8501089324618737,0.5,2025-05-17 06:45:41.049601,2025-05-17 06:46:50.478909,0 days 00:01:09.429308,cwd,False,1.0,0,COMPLETE,0.5,0.8,0.8,0.0029682303438421593,0.26631501760433096,1.0,4.0,0.0,False,,0.0
56,0.8446623093681916,0.7,2025-05-17 07:07:07.896126,2025-05-17 07:08:13.331699,0 days 00:01:05.435573,mse,False,,1,COMPLETE,0.7,0.99,0.99,1.7361851302472318e-05,0.013356107922183051,4.0,0.75,0.15,False,,0.2
109,0.8444444444444444,0.7,2025-05-17 08:06:58.554658,2025-05-17 08:08:03.444005,0 days 00:01:04.889347,mse,True,,2,COMPLETE,0.7,0.99,0.99,0.0010475142604965755,0.00017081734248064064,1.75,0.75,0.1,False,,0.05
6,0.840958605664488,0.7,2025-05-17 06:10:20.967799,2025-05-17 06:11:32.652887,0 days 00:01:11.685088,cwd,False,0.25,0,COMPLETE,0.7,0.99,0.99,0.00010399684224428945,0.00054827880424953,4.25,3.75,0.0,True,90.0,0.1
53,0.8403050108932462,0.5,2025-05-17 07:03:46.636941,2025-05-17 07:04:51.329257,0 days 00:01:04.692316,mse,False,,1,COMPLETE,0.5,0.8,0.8,0.00026553568371818717,0.6476830235810516,1.75,4.0,0.05,True,90.0,0.2
118,0.8350762527233115,0.7,2025-05-17 08:17:15.946425,2025-05-17 08:18:26.585138,0 days 00:01:10.638713,cwd,False,2.0,2,COMPLETE,0.7,0.99,0.99,0.00024343306967519493,0.07128516586281977,4.0,0.75,0.05,False,,0.3
64,0.8311546840958606,0.5,2025-05-17 07:16:09.473562,2025-05-17 07:17:14.067446,0 days 00:01:04.593884,mse,False,,1,COMPLETE,0.5,0.99,0.99,0.00011393089677837738,0.15591887178169245,0.25,4.0,0.1,True,120.0,0.15000000000000002
79,0.8294117647058824,0.7,2025-05-17 07:33:04.596564,2025-05-17 07:34:17.542946,0 days 00:01:12.946382,cwd,True,2.75,1,COMPLETE,0.7,0.99,0.99,0.0006229969815476679,3.7660250340377356e-05,2.0,0.5,0.0,False,,0.25
12,0.8287581699346406,0.7,2025-05-17 06:17:09.235551,2025-05-17 06:18:13.248865,0 days 00:01:04.013314,mse,False,,0,COMPLETE,0.7,0.99,0.99,0.00011122632988733313,5.786420185990948e-05,4.75,4.0,0.1,False,,0.1
8,0.8209150326797386,0.7,2025-05-17 06:12:36.450590,2025-05-17 06:13:48.093100,0 days 00:01:11.642510,cwd,True,0.5,0,COMPLETE,0.7,0.9,0.9,0.0017724958613676628,7.645735133372336e-05,0.75,3.0,0.1,True,30.0,0.2
47,0.8178649237472767,0.7,2025-05-17 06:56:57.445193,2025-05-17 06:58:02.059722,0 days 00:01:04.614529,mse,False,,0,COMPLETE,0.7,0.99,0.99,0.0009083180536601079,0.07128516586281977,4.0,0.75,0.05,False,,0.05
52,0.8174291938997822,0.6,2025-05-17 07:02:34.651477,2025-05-17 07:03:46.614491,0 days 00:01:11.963014,cwd,True,3.0,1,COMPLETE,0.6,0.995,0.995,0.00016101928679137275,3.348733027382839e-05,2.75,4.0,0.1,False,,0.1
105,0.8172113289760349,0.7,2025-05-17 08:02:32.712412,2025-05-17 08:03:36.459799,0 days 00:01:03.747387,mse,False,,2,COMPLETE,0.7,0.995,0.995,0.0004534313086846147,0.07128516586281977,4.0,0.75,0.05,False,,0.05
123,0.8167755991285404,0.6,2025-05-17 08:22:53.611411,2025-05-17 08:24:05.472100,0 days 00:01:11.860689,cwd,True,3.25,2,COMPLETE,0.6,0.9,0.9,0.00016101928679137275,3.348733027382839e-05,2.75,4.0,0.1,False,,0.1
