number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
41,0.9412940748818611,0.7,2025-05-15 14:31:40.859540,2025-05-15 14:34:52.848785,0 days 00:03:11.989245,0,COMPLETE,0.7,5.673799828972445e-05,0.1015311970659397,0.0,False,,0.007288392482244685,0.003795056042722455,3.0,False,,0.05,base,group,False
92,0.933206106870229,0.5,2025-05-15 17:52:26.439795,2025-05-15 17:56:14.481584,0 days 00:03:48.041789,1,COMPLETE,0.5,0.0018435030757246542,0.03673554257587388,0.15,False,,0.000841633152467638,0.0018076150348113635,3.0,False,,0.1,base,fpgm,True
65,0.9197564521992003,0.5,2025-05-15 16:07:00.916226,2025-05-15 16:11:38.848429,0 days 00:04:37.932203,1,COMPLETE,0.5,0.0015561189607192208,0.05535977814398681,0.05,True,90.0,0.0011921358993802074,0.011076910160845912,1.0,False,,0.1,group,group,False
45,0.8797709923664122,0.7,2025-05-15 14:46:37.996858,2025-05-15 14:50:36.359722,0 days 00:03:58.362864,0,COMPLETE,0.7,0.0019066300661982085,0.18995006539321815,0.05,True,120.0,0.0006811332750951158,0.9807700129030236,1.0,True,30.0,0.15,bnscale,fpgm,True
44,0.8717739003998547,0.6,2025-05-15 14:42:47.011281,2025-05-15 14:46:37.972764,0 days 00:03:50.961483,0,COMPLETE,0.6,0.00278652791196014,0.13706583448989854,0.1,True,120.0,3.921083505731213e-05,5.074751613690665e-05,2.0,False,,0.05,group,fpgm,True
100,0.8444202108324247,0.5,2025-05-15 18:26:26.048824,2025-05-15 18:30:13.573421,0 days 00:03:47.524597,1,COMPLETE,0.5,0.0010413109150152675,0.5752532237192368,0.05,True,120.0,0.00012193332423050289,0.02196679608743227,3.0,True,120.0,0.15,base,group,False
73,0.7367320974191203,0.6,2025-05-15 16:40:55.439254,2025-05-15 16:44:43.084448,0 days 00:03:47.645194,1,COMPLETE,0.6,0.003227192188623046,0.5752532237192368,0.1,True,150.0,2.906595394634609e-05,0.0443514233791376,3.0,True,120.0,0.05,base,group,False
77,0.6946564885496183,0.6,2025-05-15 16:55:30.795145,2025-05-15 16:59:11.083721,0 days 00:03:40.288576,1,COMPLETE,0.6,0.0068825772698609365,0.14734397621612835,0.1,True,90.0,5.45965985345866e-05,0.024076438891260318,2.0,False,,0.15,group,group,True
3,,,2025-05-15 12:09:34.556421,2025-05-15 12:10:29.007593,0 days 00:00:54.451172,0,FAIL,0.5,0.0018106873809786996,0.03507395362837638,0.15,True,60.0,0.006452689770960173,1.300567646191935e-05,3.0,False,,0.0,group,group,False
4,,,2025-05-15 12:10:29.055380,,,0,RUNNING,0.7,1.1682404197361326e-05,0.002751517820671961,0.1,False,,1.7199054083900616e-05,0.04667208748259574,3.0,False,,0.1,bnscale,group,True
5,,,2025-05-15 12:14:08.888028,2025-05-15 12:14:15.009993,0 days 00:00:06.121965,0,FAIL,0.6,0.0017539158682696118,0.015085005775190927,0.1,True,120.0,0.00011373780463410854,0.00018542215321633903,3.0,False,,0.1,base,lamp,False
6,,,2025-05-15 12:14:15.040809,2025-05-15 12:14:26.988247,0 days 00:00:11.947438,0,FAIL,0.7,0.0007707242685659256,0.015775236708928976,0.15,False,,0.0010495432858799833,0.026332064964241238,1.0,True,30.0,0.0,bnscale,group,True
104,,,2025-05-15 18:42:14.113513,2025-05-15 18:42:14.173689,0 days 00:00:00.060176,2,FAIL,,,,,,,,,,,,,,,
105,,,2025-05-15 18:42:14.222759,2025-05-15 18:42:14.276985,0 days 00:00:00.054226,2,FAIL,,,,,,,,,,,,,,,
