number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
78,0.851326790258088,2025-05-26 17:53:25.095914,2025-05-26 17:55:25.732822,0 days 00:02:00.636908,0.4,0.6186154796967788,True,COMPLETE
41,0.8502362777171936,2025-05-26 16:39:32.862139,2025-05-26 16:41:39.815396,0 days 00:02:06.953257,0.4,0.4178462543267062,True,COMPLETE
47,0.8501151096570944,2025-05-26 16:51:39.088492,2025-05-26 16:53:43.697548,0 days 00:02:04.609056,0.35,0.5265007477163395,True,COMPLETE
79,0.8501151096570944,2025-05-26 17:55:25.774961,2025-05-26 17:57:24.914361,0 days 00:01:59.139400,0.4,0.6433970845596558,True,COMPLETE
90,0.8492669332363988,2025-05-26 18:17:42.725128,2025-05-26 18:19:47.017525,0 days 00:02:04.292397,0.25,0.7032918462870349,True,COMPLETE
91,0.8491457651762996,2025-05-26 18:19:47.056291,2025-05-26 18:21:53.957067,0 days 00:02:06.900776,0.25,0.6968462371102847,True,COMPLETE
55,0.8487822609960013,2025-05-26 17:07:29.913970,2025-05-26 17:09:33.015541,0 days 00:02:03.101571,0.30000000000000004,0.5974584777695527,True,COMPLETE
46,0.8485399248758027,2025-05-26 16:49:30.631298,2025-05-26 16:51:39.049252,0 days 00:02:08.417954,0.45000000000000007,0.5599640372079265,True,COMPLETE
83,0.8485399248758027,2025-05-26 18:03:23.592185,2025-05-26 18:05:31.817482,0 days 00:02:08.225297,0.35,0.6436027728953143,True,COMPLETE
84,0.848297588755604,2025-05-26 18:05:31.856678,2025-05-26 18:07:34.042022,0 days 00:02:02.185344,0.25,0.6357064080294086,True,COMPLETE
27,0.847934084575306,2025-05-26 16:12:13.600500,2025-05-26 16:14:09.438458,0 days 00:01:55.837958,0.8,0.8571570827321084,False,COMPLETE
82,0.847934084575306,2025-05-26 18:01:20.789784,2025-05-26 18:03:23.551716,0 days 00:02:02.761932,0.35,0.683893525862086,True,COMPLETE
99,0.8478129165152066,2025-05-26 18:35:55.900171,2025-05-26 18:38:05.398000,0 days 00:02:09.497829,0.35,0.9993008722198761,True,COMPLETE
62,0.8476917484551073,2025-05-26 17:21:42.416666,2025-05-26 17:23:50.473381,0 days 00:02:08.056715,0.5,0.26056167629198007,True,COMPLETE
12,0.8476917484551071,2025-05-26 15:42:40.313448,2025-05-26 15:44:49.013454,0 days 00:02:08.700006,0.6,0.9227262503552113,True,COMPLETE
16,0.8470859081546105,2025-05-26 15:50:30.346356,2025-05-26 15:52:38.795276,0 days 00:02:08.448920,0.5,0.13297418964098628,True,COMPLETE
26,0.8467224039743124,2025-05-26 16:10:04.762929,2025-05-26 16:12:13.562367,0 days 00:02:08.799438,0.65,0.8696689957509275,False,COMPLETE
74,0.8467224039743123,2025-05-26 17:45:40.586952,2025-05-26 17:47:38.990650,0 days 00:01:58.403698,0.55,0.32375205860576206,True,COMPLETE
64,0.8461165636738155,2025-05-26 17:25:56.432145,2025-05-26 17:27:58.573668,0 days 00:02:02.141523,0.4,0.9555043766152431,True,COMPLETE
7,0.8459953956137163,2025-05-26 15:32:48.831811,2025-05-26 15:34:46.978785,0 days 00:01:58.146974,0.4,0.4488141180347804,True,COMPLETE
56,0.8457530594935175,2025-05-26 17:09:33.053909,2025-05-26 17:11:34.008096,0 days 00:02:00.954187,0.30000000000000004,0.5343128670458059,True,COMPLETE
93,0.8456318914334182,2025-05-26 18:23:57.876285,2025-05-26 18:25:54.986224,0 days 00:01:57.109939,0.2,0.43913537498870964,True,COMPLETE
13,0.8453895553132195,2025-05-26 15:44:49.050459,2025-05-26 15:46:54.560739,0 days 00:02:05.510280,0.65,0.8678968583068076,True,COMPLETE
50,0.8450260511329214,2025-05-26 16:57:39.411679,2025-05-26 16:59:44.545863,0 days 00:02:05.134184,0.35,0.25130836007455876,True,COMPLETE
31,0.8444202108324247,2025-05-26 16:19:40.768935,2025-05-26 16:21:44.109890,0 days 00:02:03.340955,0.65,0.7318408285620674,False,COMPLETE
65,0.8444202108324245,2025-05-26 17:27:58.616164,2025-05-26 17:29:57.145550,0 days 00:01:58.529386,0.45000000000000007,0.6244650062328015,True,COMPLETE
61,0.8442990427723253,2025-05-26 17:19:38.383181,2025-05-26 17:21:42.377605,0 days 00:02:03.994424,0.45000000000000007,0.40837042411844227,True,COMPLETE
80,0.8441778747122258,2025-05-26 17:57:24.953088,2025-05-26 17:59:18.077237,0 days 00:01:53.124149,0.4,0.9997693389336505,True,COMPLETE
39,0.8440567066521266,2025-05-26 16:35:18.224372,2025-05-26 16:37:23.552660,0 days 00:02:05.328288,0.75,0.45395983246676935,False,COMPLETE
11,0.8439355385920271,2025-05-26 15:40:28.665067,2025-05-26 15:42:40.274281,0 days 00:02:11.609214,0.5,0.7145803404524849,True,COMPLETE
59,0.8438143705319279,2025-05-26 17:15:33.051586,2025-05-26 17:17:38.249765,0 days 00:02:05.198179,0.25,0.8809346394438623,True,COMPLETE
