model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.9616,0.9509,0.9435,0.9268,0.7955
PRISM(sage),0.9492,0.941,0.9329,0.8975,0.8646
classic_gnn(gcn),0.9136,0.9038,0.8957,0.8765,0.6356
classic_gnn(sage),0.9515,0.9469,0.9404,0.9229,0.898
truned_gnn(mpp)(gcn),0.9586,0.9499,0.9412,0.9304,0.7792
truned_gnn(mpp)(sage),0.955,0.9441,0.9363,0.8996,0.8735
