model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.7537,0.5614,0.3901,0.2408,0.2278
PRISM(sage),0.7278,0.5705,0.4036,0.234,0.2279
classic_gnn(gcn),0.7172,0.6575,0.5715,0.361,0.167
classic_gnn(sage),0.6961,0.6393,0.5368,0.3654,0.2398
truned_gnn(mpp)(gcn),0.7233,0.6549,0.5669,0.3808,0.2321
truned_gnn(mpp)(sage),0.6834,0.6445,0.5707,0.4339,0.2318
