model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.6316,0.439,0.248,0.1989
PRISM(sage),0.796,0.621,0.4345,0.2448,0.2078
classic_gnn(gcn),0.7907,0.7806,0.7713,0.7298,0.3932
classic_gnn(sage),0.8017,0.7776,0.7581,0.7254,0.5271
truned_gnn(mpp)(gcn),0.8052,0.7936,0.784,0.7739,0.7118
truned_gnn(mpp)(sage),0.8053,0.7869,0.7746,0.7492,0.5179
