model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.929,0.9321,0.9351,0.9081,0.8647
PRISM(sage),0.9089,0.9161,0.9107,0.8787,0.8336
classic_gnn(gcn),0.7171,0.7135,0.7036,0.7045,0.6059
classic_gnn(sage),0.9162,0.9157,0.9155,0.8961,0.8496
truned_gnn(mpp)(gcn),0.9354,0.9359,0.9326,0.9145,0.8797
truned_gnn(mpp)(sage),0.93,0.9273,0.9181,0.8915,0.8532
