model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.7418,0.5256,0.2942,0.2275
PRISM(sage),0.796,0.7439,0.5261,0.3014,0.2291
classic_gnn(gcn),0.7907,0.8685,0.7666,0.3138,0.2274
classic_gnn(sage),0.8017,0.9393,0.9121,0.8046,0.3322
truned_gnn(mpp)(gcn),0.8052,0.9422,0.9101,0.7151,0.2526
truned_gnn(mpp)(sage),0.8053,0.9387,0.911,0.8129,0.3475
