model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.9616,0.9518,0.9419,0.9281,0.6405
PRISM(sage),0.9492,0.9412,0.9293,0.906,0.7595
classic_gnn(gcn),0.9136,0.9026,0.8912,0.8676,0.5977
classic_gnn(sage),0.9515,0.9473,0.9408,0.9265,0.8605
truned_gnn(mpp)(gcn),0.9586,0.95,0.941,0.9311,0.6565
truned_gnn(mpp)(sage),0.955,0.9448,0.9242,0.9052,0.8093
