model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.9459,0.9294,0.9043,0.852
PRISM(sage),0.796,0.9479,0.9309,0.9106,0.8793
classic_gnn(gcn),0.7907,0.8995,0.8707,0.8618,0.736
classic_gnn(sage),0.8017,0.9431,0.9279,0.9003,0.8784
truned_gnn(mpp)(gcn),0.8052,0.9478,0.9299,0.9059,0.8757
truned_gnn(mpp)(sage),0.8053,0.9467,0.9314,0.9017,0.8871
