model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8502,0.8278,0.8149,0.7775,0.6094
PRISM(sage),0.8316,0.7987,0.7868,0.7647,0.5956
classic_gnn(gcn),0.8361,0.8063,0.8191,0.7836,0.6938
classic_gnn(sage),0.8061,0.7894,0.7904,0.7542,0.6657
truned_gnn(mpp)(gcn),0.8377,0.8171,0.8219,0.7735,0.7046
truned_gnn(mpp)(sage),0.8252,0.8009,0.7845,0.7599,0.6596
