model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.7916,0.7892,0.7698,0.7163
PRISM(sage),0.796,0.7824,0.7828,0.7556,0.7074
classic_gnn(gcn),0.7907,0.7747,0.7758,0.762,0.667
classic_gnn(sage),0.8017,0.7911,0.7861,0.7616,0.7309
truned_gnn(mpp)(gcn),0.8052,0.7932,0.7911,0.7781,0.7413
truned_gnn(mpp)(sage),0.8053,0.791,0.784,0.7654,0.7335
