model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.9442,0.9309,0.9046,0.7534
PRISM(sage),0.796,0.9483,0.9339,0.9092,0.8577
classic_gnn(gcn),0.7907,0.8873,0.8703,0.814,0.2583
classic_gnn(sage),0.8017,0.9416,0.9297,0.9027,0.8379
truned_gnn(mpp)(gcn),0.8052,0.9462,0.932,0.9043,0.7124
truned_gnn(mpp)(sage),0.8053,0.9459,0.9315,0.9013,0.8379
