model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.929,0.9312,0.932,0.9065,0.7998
PRISM(sage),0.9089,0.917,0.9187,0.8758,0.7306
classic_gnn(gcn),0.7171,0.7115,0.7012,0.6539,0.3864
classic_gnn(sage),0.9162,0.9156,0.9134,0.8896,0.7973
truned_gnn(mpp)(gcn),0.9354,0.9338,0.9322,0.9124,0.8488
truned_gnn(mpp)(sage),0.93,0.9302,0.9255,0.8937,0.8346
