scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,values,mpp_warnup,warnup
False,False,0.00036214064787589643,0.00031753283300226426,0.00030442691936712865,0.024596350623277353,1,0.7,group,fpgm,False,False,"[0.9151823579304494, 0.7]",,
False,True,0.0005700325091875587,0.00014509201167870524,1.0326768666329703e-05,0.13078750424194954,3,0.5,group,fpgm,False,True,"[0.920392584514722, 0.5]",0.5,
True,False,0.001955085549701118,7.306551223386033e-05,0.003979389494617406,0.0003596327335821872,3,0.6,base,fpgm,False,False,"[0.9185750636132316, 0.6]",,0.15000000000000002
False,False,0.0038238531086670444,1.837953661514937e-05,0.00011878137495002037,0.00022626980632417044,2,0.8,base,fpgm,True,False,"[0.9034290561008119, 0.8]",,
False,True,0.006821607674648624,5.191598859484121e-05,0.00036554176500879995,0.008992891080385678,2,0.9,group,lamp,False,True,"[0.8154610444686781, 0.9]",0.05,
