number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
83,0.7520000000000001,0.5,2025-05-17 03:46:35.728126,2025-05-17 03:46:56.280134,0 days 00:00:20.552008,mse,False,,1,COMPLETE,0.5,0.9,0.9,0.000313846439283907,1.2588055879620425e-05,1.5,5.0,0.15,False,,0.3
62,0.7516666666666666,0.5,2025-05-17 03:39:14.836427,2025-05-17 03:39:34.646207,0 days 00:00:19.809780,mse,True,,1,COMPLETE,0.5,0.9,0.9,5.666879844440689e-05,3.4849485048242116e-05,2.5,0.25,0.1,False,,0.0
55,0.7516666666666666,0.6,2025-05-17 03:36:48.548592,2025-05-17 03:37:09.083694,0 days 00:00:20.535102,mse,False,,1,COMPLETE,0.6,0.8,0.8,1.0670852353911768e-05,0.002677153675637251,4.75,3.25,0.0,True,150.0,0.3
5,0.7513333333333333,0.6,2025-05-17 03:19:02.201861,2025-05-17 03:19:22.004423,0 days 00:00:19.802562,mse,False,,0,COMPLETE,0.6,0.995,0.995,0.003775048071133983,0.0007024291303564287,3.5,1.0,0.15,True,150.0,0.0
42,0.7513333333333333,0.5,2025-05-17 03:32:16.167076,2025-05-17 03:32:35.779835,0 days 00:00:19.612759,mse,True,,0,COMPLETE,0.5,0.8,0.8,2.6284955490689985e-05,6.139527312762259e-05,0.5,2.0,0.0,True,120.0,0.0
43,0.7506666666666666,0.5,2025-05-17 03:32:35.802487,2025-05-17 03:32:56.485613,0 days 00:00:20.683126,cwd,True,1.75,0,COMPLETE,0.5,0.9,0.9,4.017178263409744e-05,6.954897498315699e-05,2.75,3.5,0.05,True,90.0,0.0
107,0.7506666666666666,0.6,2025-05-17 03:55:06.546509,2025-05-17 03:55:26.425640,0 days 00:00:19.879131,mse,False,,2,COMPLETE,0.6,0.8,0.8,0.0014482935290386632,0.0465525205691305,2.0,0.5,0.15,True,30.0,0.0
119,0.7506666666666666,0.6,2025-05-17 03:59:21.911434,2025-05-17 03:59:43.775547,0 days 00:00:21.864113,cwd,False,2.0,2,COMPLETE,0.6,0.995,0.995,7.811599448050206e-05,0.0026077370448177634,1.5,0.25,0.15,True,90.0,0.25
56,0.7506666666666666,0.5,2025-05-17 03:37:09.107409,2025-05-17 03:37:29.593710,0 days 00:00:20.486301,mse,False,,1,COMPLETE,0.5,0.8,0.8,0.0017204456681538722,0.0008520769631747354,1.25,2.25,0.0,False,,0.2
84,0.7503333333333333,0.6,2025-05-17 03:46:56.303011,2025-05-17 03:47:17.029911,0 days 00:00:20.726900,mse,False,,1,COMPLETE,0.6,0.995,0.995,0.003775048071133983,0.0007024291303564287,3.5,0.5,0.15,True,90.0,0.15000000000000002
95,0.7503333333333333,0.5,2025-05-17 03:50:52.288534,2025-05-17 03:51:12.739837,0 days 00:00:20.451303,mse,True,,1,COMPLETE,0.5,0.995,0.995,0.0017204456681538722,0.03532467632811045,1.25,2.25,0.05,True,90.0,0.2
0,0.75,0.6,2025-05-17 03:16:52.880004,2025-05-17 03:17:27.720839,0 days 00:00:34.840835,cwd,True,4.5,0,COMPLETE,0.6,0.9,0.9,8.62371452813932e-05,5.113288084083016e-05,3.0,4.75,0.05,False,,0.25
112,0.7496666666666667,0.5,2025-05-17 03:56:51.413497,2025-05-17 03:57:13.008953,0 days 00:00:21.595456,cwd,False,2.5,2,COMPLETE,0.5,0.9,0.9,0.002098788547008434,1.2588055879620425e-05,1.5,2.5,0.15,False,,0.3
87,0.749,0.6,2025-05-17 03:48:00.025890,2025-05-17 03:48:20.900700,0 days 00:00:20.874810,cwd,False,1.0,1,COMPLETE,0.6,0.995,0.995,7.811599448050206e-05,0.0026077370448177634,3.5,0.25,0.15,True,90.0,0.0
100,0.749,0.6,2025-05-17 03:52:36.810468,2025-05-17 03:52:58.556623,0 days 00:00:21.746155,cwd,False,3.75,2,COMPLETE,0.6,0.8,0.8,1.725121217949132e-05,0.018668498046552916,2.25,3.25,0.15,True,60.0,0.1
