number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
71,0.7223333333333333,0.7,2025-05-17 02:54:23.257992,2025-05-17 02:54:48.553219,0 days 00:00:25.295227,cwd,True,1.0,1,COMPLETE,0.7,0.8,0.8,0.00659952687530927,0.0007614078501841601,3.25,2.5,0.15,False,,0.25
108,0.722,0.7,2025-05-17 03:09:50.709506,2025-05-17 03:10:13.645337,0 days 00:00:22.935831,mse,False,,2,COMPLETE,0.7,0.8,0.8,4.7096546975830756e-05,0.16262185746633687,2.75,4.5,0.15,True,120.0,0.0
107,0.722,0.5,2025-05-17 03:09:25.894426,2025-05-17 03:09:50.686983,0 days 00:00:24.792557,mse,False,,2,COMPLETE,0.5,0.8,0.8,0.0004734567124203067,0.002953336537485907,4.0,5.0,0.1,True,120.0,0.15000000000000002
68,0.7216666666666667,0.7,2025-05-17 02:53:05.793094,2025-05-17 02:53:31.253252,0 days 00:00:25.460158,cwd,True,2.0,1,COMPLETE,0.7,0.99,0.99,0.0005272726809943136,0.008565231818566908,2.0,2.0,0.1,False,,0.3
84,0.7213333333333333,0.7,2025-05-17 02:59:47.283624,2025-05-17 03:00:12.523169,0 days 00:00:25.239545,cwd,False,0.5,1,COMPLETE,0.7,0.995,0.995,0.001439902085301698,4.7733163399300084e-05,3.0,1.0,0.05,True,90.0,0.05
121,0.721,0.7,2025-05-17 03:15:13.747277,2025-05-17 03:15:36.518048,0 days 00:00:22.770771,mse,False,,2,COMPLETE,0.7,0.8,0.8,0.00122846737269266,0.0006508000152526809,1.5,1.0,0.0,False,,0.0
102,0.721,0.7,2025-05-17 03:07:21.390867,2025-05-17 03:07:46.436784,0 days 00:00:25.045917,cwd,False,0.5,2,COMPLETE,0.7,0.8,0.8,5.632844719311972e-05,0.00012066866568799858,2.0,0.5,0.05,True,30.0,0.1
70,0.7206666666666667,0.5,2025-05-17 02:53:56.742580,2025-05-17 02:54:23.235508,0 days 00:00:26.492928,cwd,True,1.5,1,COMPLETE,0.5,0.995,0.995,0.000880731361169193,7.808463232052406e-05,2.25,4.5,0.15,True,30.0,0.3
38,0.7206666666666667,0.5,2025-05-17 02:40:36.503415,2025-05-17 02:41:02.923596,0 days 00:00:26.420181,cwd,False,4.0,0,COMPLETE,0.5,0.9,0.9,1.3973928799823375e-05,0.1785011392162302,3.25,2.5,0.0,True,60.0,0.2
113,0.7203333333333334,0.7,2025-05-17 03:11:53.942163,2025-05-17 03:12:18.925629,0 days 00:00:24.983466,cwd,False,3.5,2,COMPLETE,0.7,0.8,0.8,0.00659952687530927,0.0007614078501841601,2.75,2.25,0.15,False,,0.25
26,0.7203333333333334,0.5,2025-05-17 02:35:41.758836,2025-05-17 02:36:06.485549,0 days 00:00:24.726713,mse,True,,0,COMPLETE,0.5,0.9,0.9,0.0002894995465257141,0.00013345377322182618,4.75,4.75,0.1,False,,0.15000000000000002
83,0.7203333333333332,0.6,2025-05-17 02:59:23.563639,2025-05-17 02:59:47.262137,0 days 00:00:23.698498,mse,True,,1,COMPLETE,0.6,0.8,0.8,0.0004850319369603461,0.9083871882591599,4.75,4.75,0.05,False,,0.25
48,0.7200000000000001,0.5,2025-05-17 02:44:47.527847,2025-05-17 02:45:13.828646,0 days 00:00:26.300799,cwd,True,2.25,0,COMPLETE,0.5,0.9,0.9,0.006513362181261678,1.7451042133037916e-05,3.75,2.25,0.15,False,,0.05
79,0.7200000000000001,0.5,2025-05-17 02:57:38.601764,2025-05-17 02:58:05.174462,0 days 00:00:26.572698,cwd,False,1.0,1,COMPLETE,0.5,0.9,0.9,2.0479774824128284e-05,0.026461408733532726,3.5,2.25,0.05,False,,0.05
95,0.7200000000000001,0.7,2025-05-17 03:04:23.800069,2025-05-17 03:04:48.948953,0 days 00:00:25.148884,cwd,False,0.5,1,COMPLETE,0.7,0.8,0.8,5.632844719311972e-05,0.00013345377322182618,4.75,4.75,0.05,False,,0.15000000000000002
2,0.7196666666666666,0.5,2025-05-17 02:25:13.542715,2025-05-17 02:25:53.978834,0 days 00:00:40.436119,cwd,True,2.5,0,COMPLETE,0.5,0.8,0.8,0.0012308045301463323,0.7504961180784743,4.75,3.0,0.15,False,,0.2
43,0.7196666666666666,0.5,2025-05-17 02:42:42.324702,2025-05-17 02:43:06.315255,0 days 00:00:23.990553,mse,True,,0,COMPLETE,0.5,0.8,0.8,4.7096546975830756e-05,0.002953336537485907,4.25,4.5,0.15,True,60.0,0.0
120,0.7196666666666666,0.7,2025-05-17 03:14:48.707198,2025-05-17 03:15:13.723053,0 days 00:00:25.015855,cwd,False,0.25,2,COMPLETE,0.7,0.99,0.99,0.0021033358929848874,1.7451042133037916e-05,3.0,2.25,0.15,False,,0.05
118,0.7193333333333333,0.7,2025-05-17 03:13:57.777544,2025-05-17 03:14:23.076644,0 days 00:00:25.299100,cwd,False,4.25,2,COMPLETE,0.7,0.99,0.99,0.00028397674310717835,6.653205056785309e-05,3.0,0.25,0.0,False,,0.05
65,0.7193333333333333,0.7,2025-05-17 02:51:49.949011,2025-05-17 02:52:15.228031,0 days 00:00:25.279020,cwd,False,0.5,1,COMPLETE,0.7,0.99,0.99,6.417060922214524e-05,0.01178534549898418,1.75,0.5,0.0,False,,0.05
116,0.719,0.5,2025-05-17 03:13:07.443684,2025-05-17 03:13:33.752781,0 days 00:00:26.309097,cwd,False,3.5,2,COMPLETE,0.5,0.9,0.9,1.3973928799823375e-05,0.00012066866568799858,1.5,0.5,0.0,True,120.0,0.1
53,0.719,0.7,2025-05-17 02:46:51.642365,2025-05-17 02:47:15.800006,0 days 00:00:24.157641,cwd,False,3.25,1,COMPLETE,0.7,0.995,0.995,0.0006596035745363727,0.001277252359182833,2.0,2.0,0.1,True,30.0,0.0
