model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8502,0.8467,0.829,0.8004,0.7521
PRISM(sage),0.8316,0.8271,0.8081,0.784,0.7452
classic_gnn(gcn),0.8361,0.8381,0.8236,0.7898,0.7617
classic_gnn(sage),0.8061,0.8132,0.8083,0.7869,0.7648
truned_gnn(mpp)(gcn),0.8377,0.842,0.8191,0.7945,0.7522
truned_gnn(mpp)(sage),0.8252,0.8112,0.7902,0.782,0.749
