model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.7537,0.7085,0.6691,0.591,0.5436
PRISM(sage),0.7278,0.6917,0.6541,0.5716,0.533
classic_gnn(gcn),0.7172,0.6796,0.6372,0.5686,0.5443
classic_gnn(sage),0.6961,0.6702,0.6427,0.5784,0.5439
truned_gnn(mpp)(gcn),0.7233,0.6921,0.6578,0.5743,0.5161
truned_gnn(mpp)(sage),0.6834,0.6638,0.6337,0.5651,0.5338
