model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8502,0.8335,0.8191,0.7853,0.7503
PRISM(sage),0.8316,0.8192,0.7932,0.7684,0.741
classic_gnn(gcn),0.8361,0.8243,0.7982,0.779,0.7507
classic_gnn(sage),0.8061,0.8206,0.7967,0.7625,0.7575
truned_gnn(mpp)(gcn),0.8377,0.8305,0.8079,0.7803,0.7446
truned_gnn(mpp)(sage),0.8252,0.812,0.7793,0.7611,0.741
