model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.8079,0.8029,0.7853,0.7449
PRISM(sage),0.796,0.7993,0.7948,0.778,0.7363
classic_gnn(gcn),0.7907,0.7913,0.7873,0.7744,0.748
classic_gnn(sage),0.8017,0.8007,0.7951,0.7762,0.7289
truned_gnn(mpp)(gcn),0.8052,0.8028,0.7979,0.7871,0.7675
truned_gnn(mpp)(sage),0.8053,0.8018,0.799,0.7848,0.7512
