model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.9516,0.9435,0.7932,0.2474
PRISM(sage),0.796,0.953,0.9453,0.8743,0.2935
classic_gnn(gcn),0.7907,0.8749,0.7948,0.3352,0.2274
classic_gnn(sage),0.8017,0.9489,0.9438,0.9076,0.6072
truned_gnn(mpp)(gcn),0.8052,0.9538,0.9465,0.8814,0.2968
truned_gnn(mpp)(sage),0.8053,0.9539,0.9449,0.9144,0.4842
