model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.8111,0.9555,0.9499,0.935,0.8591
PRISM(sage),0.796,0.958,0.9527,0.9355,0.9135
classic_gnn(gcn),0.7907,0.8888,0.8731,0.8332,0.3529
classic_gnn(sage),0.8017,0.949,0.9465,0.9301,0.8977
truned_gnn(mpp)(gcn),0.8052,0.9532,0.9481,0.9339,0.8403
truned_gnn(mpp)(sage),0.8053,0.9535,0.9509,0.9339,0.9032
