model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.9731,0.9688,0.9656,0.9573,0.9477
PRISM(sage),0.9656,0.9649,0.9596,0.955,0.9354
classic_gnn(gcn),0.9586,0.9574,0.9517,0.945,0.8676
classic_gnn(sage),0.9673,0.9633,0.9612,0.9499,0.8667
truned_gnn(mpp)(gcn),0.9736,0.9698,0.9667,0.958,0.946
truned_gnn(mpp)(sage),0.9685,0.9651,0.9627,0.9562,0.8664
