model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.929,0.9302,0.9271,0.9161,0.8664
PRISM(sage),0.9089,0.9172,0.9175,0.8885,0.8466
classic_gnn(gcn),0.7171,0.7109,0.7331,0.7244,0.3855
classic_gnn(sage),0.9162,0.9167,0.9194,0.9009,0.8603
truned_gnn(mpp)(gcn),0.9354,0.934,0.9324,0.9194,0.8821
truned_gnn(mpp)(sage),0.93,0.9291,0.929,0.9004,0.8682
