model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.929,0.9289,0.9248,0.9115,0.8469
PRISM(sage),0.9089,0.9108,0.9124,0.8956,0.7937
classic_gnn(gcn),0.7171,0.713,0.704,0.5835,0.3851
classic_gnn(sage),0.9162,0.9131,0.9146,0.9008,0.8604
truned_gnn(mpp)(gcn),0.9354,0.9332,0.93,0.9172,0.8856
truned_gnn(mpp)(sage),0.93,0.9276,0.9258,0.9127,0.8785
