model,full_feat,30% missing,60% missing,90% missing,99.5% missing
PRISM(gcn),0.9616,0.9558,0.9496,0.9367,0.8641
PRISM(sage),0.9492,0.9533,0.9428,0.9168,0.881
classic_gnn(gcn),0.9136,0.9068,0.8971,0.8812,0.6941
classic_gnn(sage),0.9515,0.9495,0.9452,0.9337,0.8984
truned_gnn(mpp)(gcn),0.9586,0.9529,0.9455,0.9367,0.8616
truned_gnn(mpp)(sage),0.955,0.9503,0.9429,0.9157,0.88
