number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
14,0.320697168,18.30579712,38:11.8,39:07.3,0 days 00:00:55.519204,,,0.25,0.45,3,0.995,batch,TRUE,FALSE,0.25,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
98,0.288235294,17.29672734,16:37.8,17:30.3,0 days 00:00:52.477025,,,0.15,0.25,5,0.9,,TRUE,FALSE,0.05,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
46,0.288017429,24.87995751,25:30.8,26:46.1,0 days 00:01:15.297368,lamp,TRUE,,0.15,3,0.995,,,TRUE,0.3,0,0,TRUE,3,FALSE,,2,TRUE,0.9,1,group,TRUE,0.5,0,COMPLETE
40,0.279084967,17.08909138,19:24.0,20:15.9,0 days 00:00:51.872066,,,0.35,0.6,5,0.9,,FALSE,FALSE,0.2,,4,FALSE,,,,,,,,,TRUE,0.2,0,COMPLETE
58,0.276252723,17.74254232,38:28.3,39:22.2,0 days 00:00:53.845563,,,0.4,0,3,0.9,batch,FALSE,FALSE,0.3,,0,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
94,0.269063181,17.11228542,13:09.0,14:01.0,0 days 00:00:51.948503,,,0.15,0,6,0.99,,TRUE,TRUE,0,0.45,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
74,0.262962963,20.13577376,54:15.4,55:16.5,0 days 00:01:01.140369,lamp,TRUE,0.35,0.65,6,0.99,,FALSE,TRUE,0.05,0.25,5,TRUE,4,TRUE,0.05,3,FALSE,0.5,2,bnscale,FALSE,,1,COMPLETE
5,0.262527233,19.85117738,29:51.2,30:51.4,0 days 00:01:00.162850,,,0.7,0.65,5,0.99,layer,TRUE,FALSE,0.05,,0,FALSE,,,,,,,,,TRUE,0.5,0,COMPLETE
10,0.255555556,17.21255981,34:25.3,35:17.5,0 days 00:00:52.214724,,,0.4,0.05,3,0.99,layer,TRUE,FALSE,0,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
23,0.255555556,20.73724403,02:43.4,03:46.4,0 days 00:01:02.965624,group,TRUE,0.55,0.1,2,0.99,,TRUE,TRUE,0.15,0.5,0,TRUE,4,TRUE,0.1,2,FALSE,0.65,1,bnscale,FALSE,,0,COMPLETE
30,0.255555556,17.4931835,09:43.0,10:36.1,0 days 00:00:53.100310,,,0.75,0.7,2,0.99,,FALSE,TRUE,0.05,0.25,0,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
39,0.255555556,20.07332685,18:23.1,19:24.0,0 days 00:01:00.900270,group,FALSE,0.25,0.2,2,0.9,layer,TRUE,TRUE,0.1,0,0,TRUE,5,TRUE,0,0,FALSE,0.85,5,group,FALSE,,0,COMPLETE
54,0.255555556,17.42735227,34:20.6,35:13.5,0 days 00:00:52.878881,,,0.5,0.25,3,0.99,,FALSE,TRUE,0,0.15,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
80,0.255555556,17.26472499,59:50.3,00:42.7,0 days 00:00:52.409951,,,0.35,0.25,2,0.99,,TRUE,TRUE,0,0.2,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
92,0.255555556,17.59187521,11:22.7,12:16.1,0 days 00:00:53.388688,,,0.45,0.25,2,0.99,layer,TRUE,FALSE,0.05,,0,FALSE,,,,,,,,,TRUE,0.5,1,COMPLETE
97,0.255555556,17.03737467,15:46.1,16:37.8,0 days 00:00:51.707039,,,0.8,0.15,3,0.9,,FALSE,TRUE,0.15,0.4,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
99,0.255555556,19.88405124,17:30.3,18:30.7,0 days 00:01:00.352206,lamp,TRUE,0.6,0.1,4,0.995,,TRUE,FALSE,0.3,,0,TRUE,4,FALSE,,3,FALSE,0.65,4,bnscale,TRUE,0.35,1,COMPLETE
8,0.255337691,17.11651623,32:40.9,33:32.8,0 days 00:00:51.919133,,,0.8,0.1,5,0.9,,FALSE,FALSE,0.05,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
81,0.255337691,17.64123375,00:42.8,01:36.3,0 days 00:00:53.541223,,,0.75,0.45,4,0.99,,TRUE,FALSE,0.3,,1,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
4,0.254901961,18.95873154,28:53.7,29:51.2,0 days 00:00:57.477210,,,0.6,0.6,6,0.99,,FALSE,TRUE,0.1,0.1,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
84,0.254901961,18.55412322,03:26.7,04:23.0,0 days 00:00:56.312873,,,0.4,0.4,5,0.99,layer,FALSE,TRUE,0,0.5,1,FALSE,,,,,,,,,TRUE,0.1,1,COMPLETE
100,0.254901961,17.13406652,18:30.7,19:22.7,0 days 00:00:52.037087,,,0.4,0.45,2,0.99,,TRUE,TRUE,0,0.1,0,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
95,0.254684096,17.45290202,14:01.0,14:54.0,0 days 00:00:52.965490,,,0.8,0.05,5,0.9,layer,TRUE,FALSE,0.05,,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
33,0.254466231,17.32756445,12:30.1,13:22.7,0 days 00:00:52.590181,,,0.55,0.7,4,0.995,,TRUE,TRUE,0.1,0.35,1,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
27,0.254248366,17.29181296,06:59.2,07:51.7,0 days 00:00:52.467586,,,0.15,0.4,6,0.995,,TRUE,TRUE,0.05,0.35,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
66,0.254030501,18.15402998,46:24.7,47:19.8,0 days 00:00:55.083332,,,0.3,0.1,6,0.9,,TRUE,TRUE,0.05,0.4,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
87,0.253376906,18.66231448,06:21.3,07:17.9,0 days 00:00:56.592923,,,0.65,0.75,3,0.99,layer,TRUE,TRUE,0.25,0.3,0,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
44,0.249891068,17.59967454,23:21.1,24:14.5,0 days 00:00:53.438964,,,0.8,0.85,6,0.99,,TRUE,TRUE,0.15,0.3,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
48,0.248148148,17.11956702,28:00.1,28:52.0,0 days 00:00:51.977111,,,0.45,0.6,6,0.9,,FALSE,TRUE,0.3,0.45,2,FALSE,,,,,,,,,FALSE,,0,COMPLETE
50,0.24335512,18.53406352,30:09.3,31:05.6,0 days 00:00:56.237048,,,0.4,0.75,4,0.9,,TRUE,TRUE,0.1,0.2,0,FALSE,,,,,,,,,TRUE,0.4,0,COMPLETE
28,0.234204793,19.64832087,07:51.7,08:51.4,0 days 00:00:59.636582,fpgm,FALSE,0.45,0.05,6,0.995,,FALSE,TRUE,0.3,0.1,3,TRUE,3,FALSE,,4,FALSE,0.85,3,base,FALSE,,0,COMPLETE
49,0.221568627,24.82841769,28:52.1,30:09.3,0 days 00:01:17.258460,fpgm,FALSE,,0.1,4,0.9,,,FALSE,0.1,,0,TRUE,4,FALSE,,1,TRUE,0.9,2,bnscale,TRUE,0.25,0,COMPLETE
43,0.215250545,18.56691272,22:24.7,23:21.1,0 days 00:00:56.336950,,,0.2,0.85,6,0.99,layer,FALSE,FALSE,0.25,,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
69,0.198910675,18.26746648,49:20.4,50:15.8,0 days 00:00:55.410166,,,0.1,0.6,6,0.9,layer,FALSE,FALSE,0.25,,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
1,0.193028322,18.91587797,26:02.6,27:00.0,0 days 00:00:57.353417,,,0.45,0.2,6,0.9,batch,TRUE,FALSE,0.3,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
72,0.190849673,17.60753244,52:28.0,53:21.4,0 days 00:00:53.413725,,,0.7,0.4,6,0.995,layer,TRUE,FALSE,0.1,,2,FALSE,,,,,,,,,TRUE,0.25,1,COMPLETE
0,0.18540305,18.99153535,25:05.0,26:02.6,0 days 00:00:57.663256,,,0.1,0.05,6,0.9,,FALSE,TRUE,0.1,0.4,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
