number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
28,0.255337691,52.30454004,26:34.5,29:12.0,0 days 00:02:37.534509,,,0.5,0.35,4,0.99,layer,TRUE,FALSE,0.25,,0,FALSE,,,,,,,,,TRUE,0.15,0,COMPLETE
15,0.255119826,38.72400705,52:22.4,54:19.2,0 days 00:01:56.758708,,,0.45,0.75,5,0.995,layer,FALSE,TRUE,0.1,0.2,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
7,0.254901961,37.94320485,31:43.6,33:38.1,0 days 00:01:54.470179,,,0.15,0,6,0.995,batch,TRUE,TRUE,0.15,0.2,0,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
26,0.254901961,51.74445608,22:41.9,25:17.7,0 days 00:02:35.811986,,,0.75,0.4,5,0.995,layer,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
41,0.254901961,40.33152129,54:17.4,56:19.1,0 days 00:02:01.645436,,,0.25,0.55,3,0.995,,TRUE,FALSE,0.15,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
49,0.254901961,43.15641181,18:42.5,20:52.5,0 days 00:02:10.073957,,,0.8,0.9,5,0.9,layer,TRUE,FALSE,0,,0,FALSE,,,,,,,,,TRUE,0.4,0,COMPLETE
105,0.254684096,37.43060083,02:05.3,03:58.2,0 days 00:01:52.896988,,,0.55,0.5,2,0.9,,TRUE,TRUE,0.3,0.3,1,FALSE,,,,,,,,,TRUE,0.35,1,COMPLETE
48,0.254248366,28.23574304,17:17.0,18:42.4,0 days 00:01:25.428189,lamp,TRUE,0.3,0.1,3,0.99,layer,FALSE,TRUE,0.1,0.2,0,TRUE,3,TRUE,0.5,2,FALSE,0.65,4,base,TRUE,0.45,0,COMPLETE
62,0.140305011,36.954883,42:04.0,43:55.4,0 days 00:01:51.443015,,,0.3,0.2,6,0.995,,FALSE,FALSE,0.3,,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
4,,,34:33.9,34:53.3,0 days 00:00:19.367315,fpgm,TRUE,0.55,0.75,5,0.9,layer,TRUE,TRUE,0.05,0.3,1,TRUE,2,FALSE,,0,FALSE,0.6,1,bnscale,TRUE,0.1,0,FAIL
6,,,18:53.9,19:07.5,0 days 00:00:13.579361,group,FALSE,0.35,0.05,4,0.995,,TRUE,TRUE,0.25,0.2,3,TRUE,2,FALSE,,3,FALSE,0.9,5,group,TRUE,0.45,0,FAIL
13,,,41:29.9,42:53.7,0 days 00:01:23.831715,,,0.4,0.55,5,0.9,layer,TRUE,TRUE,0.05,0.25,2,FALSE,,,,,,,,,FALSE,,0,FAIL
23,,,05:56.9,06:54.4,0 days 00:00:57.430057,fpgm,FALSE,0.6,0.65,3,0.9,,TRUE,TRUE,0.05,0.35,3,TRUE,2,FALSE,,3,FALSE,0.85,3,group,TRUE,0.1,0,FAIL
37,,,45:41.7,46:04.5,0 days 00:00:22.825322,fpgm,FALSE,,0.7,3,0.9,,,TRUE,0.05,0.05,4,TRUE,2,FALSE,,1,TRUE,0.5,1,base,TRUE,0.15,0,FAIL
44,,,59:50.1,00:37.7,0 days 00:00:47.521395,lamp,FALSE,0.4,0.3,2,0.995,batch,TRUE,TRUE,0.15,0.4,4,TRUE,2,TRUE,0.25,1,FALSE,0.65,4,base,FALSE,,0,FAIL
45,,,04:31.5,04:40.4,0 days 00:00:08.904804,fpgm,TRUE,0.5,0.9,3,0.995,layer,FALSE,FALSE,0.1,,2,TRUE,2,TRUE,0.05,0,FALSE,0.6,2,base,TRUE,0.35,0,FAIL
46,,,07:52.3,08:08.5,0 days 00:00:16.165172,group,FALSE,0.3,0.7,3,0.9,batch,TRUE,TRUE,0.25,0.2,1,TRUE,2,TRUE,0.35,0,FALSE,0.9,4,bnscale,FALSE,,0,FAIL
47,,,15:13.4,15:52.0,0 days 00:00:38.632315,,,0.2,0.5,5,0.9,,TRUE,FALSE,0.2,,0,FALSE,,,,,,,,,TRUE,0.35,0,FAIL
76,,,09:18.8,09:33.4,0 days 00:00:14.602430,lamp,TRUE,0.35,0.25,6,0.99,layer,FALSE,FALSE,0.2,,2,TRUE,2,FALSE,,0,FALSE,0.85,3,base,TRUE,0,1,FAIL
99,,,51:14.3,52:03.8,0 days 00:00:49.536919,fpgm,TRUE,,0.35,2,0.995,,,FALSE,0.15,,2,TRUE,2,FALSE,,0,TRUE,0.6,3,group,TRUE,0.15,1,FAIL
109,,,09:24.1,09:37.6,0 days 00:00:13.459147,fpgm,FALSE,0.65,0.25,4,0.9,batch,FALSE,TRUE,0.3,0.3,5,TRUE,2,FALSE,,1,FALSE,0.9,2,group,FALSE,,1,FAIL
