scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,mpp_warnup,values,warnup
False,True,0.001450529361072378,0.00028027186256579083,2.8199652507415317e-05,2.4916838672968756e-05,2,0.7,base,group,False,True,0.35000000000000003,"[0.9488017429193899, 0.7]",
True,True,0.0008562732252997713,0.00012199088196759529,1.2364709420728727e-05,0.0006476606015848264,1,0.8,base,group,False,True,0.4,"[0.9285403050108932, 0.8]",0.0
True,True,0.0026301636747018808,2.7480996876657442e-05,0.0018526562006256307,4.801092649001318e-05,1,0.9,group,lamp,True,False,,"[0.8908496732026143, 0.9]",0.5
False,False,0.0026301636747018808,0.0005681567881574477,0.002927025809996562,4.801092649001318e-05,2,0.6,base,fpgm,False,True,0.45,"[0.9516339869281044, 0.6]",
