scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,values,mpp_warnup
False,True,0.0002767960091276226,0.00025035042535361305,0.0001805694453928819,0.021808759542152733,2,0.7,bnscale,fpgm,True,False,"[0.9511982570806099, 0.7]",
False,True,0.0028297253486602057,0.0006635872326757785,0.0011293718939389976,3.327058105651747e-05,2,0.6,group,lamp,True,True,"[0.9553376906318083, 0.6]",0.4
False,False,0.0016355339986127795,0.00019062724195964683,0.0010098517296726962,0.0002509191409457213,3,0.9,bnscale,fpgm,True,False,"[0.9496732026143789, 0.9]",
