scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,mpp_warnup,values
False,False,0.0016150299149816586,0.7185771186047958,0.002330080305195449,0.3193756968482345,3,0.5,bnscale,lamp,False,True,0.45,"[0.706, 0.5]"
False,True,0.0021644433401927206,0.612453900504542,2.589128538272087e-05,0.0005351347773432305,1,0.8,base,lamp,True,True,0.45,"[0.7040000000000001, 0.8]"
False,True,0.0031428160947192187,0.011776445746197291,0.008600321520413729,3.3628915804529444e-05,2,0.9,bnscale,group,True,True,0.1,"[0.6763333333333333, 0.9]"
False,True,0.0007854108847920302,0.8344122397970475,0.00033138136203110264,0.004218788971239171,1,0.6,base,fpgm,True,True,0.4,"[0.7043333333333334, 0.6]"
