number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
73,0.769,19.94788091,03:40.3,04:39.7,0 days 00:00:59.417219,lamp,FALSE,,0.25,2,0.9,,,FALSE,0.15,,3,TRUE,2,TRUE,0.25,3,TRUE,0.5,5,bnscale,TRUE,0.35,1,COMPLETE
68,0.767666667,19.41592679,59:00.7,59:58.5,0 days 00:00:57.836641,,,0.2,0.65,4,0.995,batch,TRUE,TRUE,0.25,0.25,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
31,0.767,19.07163387,26:04.4,27:02.2,0 days 00:00:57.842071,,,0.8,0.15,3,0.995,layer,FALSE,TRUE,0.25,0.4,5,FALSE,,,,,,,,,FALSE,,0,COMPLETE
44,0.766666667,17.71850303,37:00.4,37:53.5,0 days 00:00:53.043966,group,TRUE,,0.3,4,0.9,,,TRUE,0.2,0.2,5,TRUE,4,FALSE,,1,TRUE,0.65,5,bnscale,TRUE,0.35,0,COMPLETE
96,0.766333333,18.57681723,23:45.6,24:41.4,0 days 00:00:55.837420,,,0.4,0.05,4,0.995,,FALSE,FALSE,0,,3,FALSE,,,,,,,,,TRUE,0.4,1,COMPLETE
27,0.765,20.04809266,22:17.2,23:18.1,0 days 00:01:00.855151,fpgm,FALSE,,0.75,5,0.9,,,FALSE,0.2,,3,TRUE,4,FALSE,,0,TRUE,0.55,5,bnscale,FALSE,,0,COMPLETE
38,0.764666667,18.58679036,32:05.8,33:01.5,0 days 00:00:55.682362,group,TRUE,,0.1,5,0.995,,,TRUE,0.15,0.35,4,TRUE,4,TRUE,0.35,3,TRUE,0.6,2,group,TRUE,0.25,0,COMPLETE
9,0.763,19.1487532,06:08.2,07:06.3,0 days 00:00:58.098338,,,0.75,0.9,4,0.9,layer,TRUE,TRUE,0,0.15,4,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
46,0.761,15.91770255,38:51.7,39:39.6,0 days 00:00:47.959527,lamp,FALSE,,0.1,5,0.9,,,TRUE,0.2,0,4,TRUE,4,TRUE,0.05,2,TRUE,0.75,3,bnscale,FALSE,,0,COMPLETE
98,0.759666667,18.84622041,25:32.6,26:28.6,0 days 00:00:56.017787,,,0.65,0.25,4,0.995,,FALSE,FALSE,0.2,,5,FALSE,,,,,,,,,TRUE,0.35,1,COMPLETE
24,0.759,18.21971223,19:35.3,20:30.7,0 days 00:00:55.353617,lamp,FALSE,,0.6,4,0.995,,,TRUE,0.25,0.1,2,TRUE,3,FALSE,,5,TRUE,0.55,5,bnscale,FALSE,,0,COMPLETE
87,0.755666667,19.387014,16:03.9,17:01.6,0 days 00:00:57.732672,,,0.6,0.65,3,0.99,,TRUE,FALSE,0.05,,2,FALSE,,,,,,,,,TRUE,0.1,1,COMPLETE
23,0.755,15.22232185,18:49.0,19:35.3,0 days 00:00:46.369256,lamp,FALSE,,0.05,5,0.9,,,FALSE,0.05,,4,TRUE,2,TRUE,0.05,1,TRUE,0.8,4,base,FALSE,,0,COMPLETE
64,0.753333333,19.55861136,55:15.6,56:13.9,0 days 00:00:58.320039,group,FALSE,,0.15,3,0.995,,,FALSE,0.15,,4,TRUE,2,FALSE,,1,TRUE,0.55,3,bnscale,TRUE,0.05,1,COMPLETE
79,0.752666667,18.60165991,08:53.6,09:49.6,0 days 00:00:55.946953,fpgm,FALSE,,0.05,5,0.995,,,TRUE,0.25,0.05,2,TRUE,2,TRUE,0.3,0,TRUE,0.65,1,base,FALSE,,1,COMPLETE
35,0.750333333,19.45031518,29:37.9,30:36.9,0 days 00:00:59.007371,,,0.7,0.85,4,0.995,layer,TRUE,FALSE,0.2,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
88,0.750333333,19.85329577,17:01.6,18:00.7,0 days 00:00:59.082449,,,0.2,0.8,4,0.99,layer,TRUE,TRUE,0.3,0.1,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
