number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
79,0.783333333,10.51690331,46:41.3,47:13.6,0 days 00:00:32.271398,fpgm,FALSE,0.4,0.85,2,0.9,,FALSE,FALSE,0.3,,3,TRUE,4,TRUE,0.25,2,FALSE,0.5,2,group,TRUE,0.15,1,COMPLETE
44,0.783,10.23083936,27:40.7,28:12.2,0 days 00:00:31.413845,lamp,FALSE,0.3,0.15,3,0.99,,TRUE,TRUE,0.3,0.2,3,TRUE,4,FALSE,,3,FALSE,0.85,3,bnscale,TRUE,0,0,COMPLETE
82,0.783,10.45701242,48:20.4,48:52.4,0 days 00:00:32.019421,,,0.75,0.05,4,0.99,layer,FALSE,TRUE,0,0.1,4,FALSE,,,,,,,,,TRUE,0.4,1,COMPLETE
74,0.780333333,10.77905492,43:58.3,44:31.3,0 days 00:00:33.040342,,,0.55,0.2,4,0.99,batch,TRUE,TRUE,0.05,0.25,5,FALSE,,,,,,,,,TRUE,0.4,1,COMPLETE
96,0.778333333,10.6853086,55:59.0,56:31.7,0 days 00:00:32.714832,group,TRUE,,0.4,2,0.99,,,TRUE,0.15,0.25,3,TRUE,4,FALSE,,1,TRUE,0.9,2,base,FALSE,,1,COMPLETE
28,0.777666667,11.3679135,18:53.0,19:27.7,0 days 00:00:34.736103,,,0.4,0.9,4,0.9,layer,TRUE,TRUE,0.25,0.25,2,FALSE,,,,,,,,,TRUE,0,0,COMPLETE
40,0.776666667,10.79204056,25:28.1,26:01.1,0 days 00:00:33.028065,,,0.45,0.25,2,0.995,batch,TRUE,TRUE,0.1,0.5,1,FALSE,,,,,,,,,TRUE,0.25,0,COMPLETE
26,0.775666667,10.63546727,17:48.3,18:21.0,0 days 00:00:32.622673,lamp,FALSE,0.25,0.3,4,0.99,batch,FALSE,TRUE,0.05,0.3,2,TRUE,4,TRUE,0.25,5,FALSE,0.5,2,group,TRUE,0.45,0,COMPLETE
55,0.775333333,9.967419635,33:39.8,34:10.4,0 days 00:00:30.605057,lamp,FALSE,0.15,0.7,2,0.995,,FALSE,FALSE,0.05,,4,TRUE,3,FALSE,,2,FALSE,0.7,3,bnscale,FALSE,,1,COMPLETE
13,0.773333333,12.01388231,10:40.1,11:16.9,0 days 00:00:36.799726,fpgm,FALSE,,0.35,2,0.995,,,FALSE,0.1,,5,TRUE,2,FALSE,,5,TRUE,0.6,5,base,FALSE,,0,COMPLETE
12,0.772666667,11.75319798,10:04.1,10:40.1,0 days 00:00:35.950296,,,0.25,0.55,3,0.995,,TRUE,TRUE,0.05,0.45,3,FALSE,,,,,,,,,TRUE,0.25,0,COMPLETE
53,0.772666667,11.02222707,32:34.3,33:08.0,0 days 00:00:33.706005,,,0.35,0.5,5,0.995,layer,TRUE,FALSE,0,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
75,0.772333333,10.61612633,44:31.4,45:03.9,0 days 00:00:32.517927,,,0.15,0.55,3,0.995,,TRUE,TRUE,0.05,0.4,3,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
45,0.772,10.64253072,28:12.2,28:44.7,0 days 00:00:32.541614,,,0.1,0.3,5,0.9,layer,FALSE,FALSE,0.1,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
1,0.766333333,11.23239365,03:40.6,04:15.0,0 days 00:00:34.392120,fpgm,TRUE,,0.8,4,0.99,,,FALSE,0.3,,0,TRUE,2,FALSE,,1,TRUE,0.55,1,group,TRUE,0.4,0,COMPLETE
70,0.762,10.11627227,41:45.7,42:16.8,0 days 00:00:31.078969,lamp,TRUE,0.4,0.75,5,0.99,batch,FALSE,TRUE,0.25,0.35,4,TRUE,3,TRUE,0.4,0,FALSE,0.75,4,base,FALSE,,1,COMPLETE
41,0.761333333,11.04936128,26:01.2,26:34.9,0 days 00:00:33.793388,,,0.65,0.7,3,0.99,,TRUE,FALSE,0.1,,3,FALSE,,,,,,,,,TRUE,0.3,0,COMPLETE
58,0.760666667,10.2015715,35:17.1,35:48.3,0 days 00:00:31.254829,,,0.45,0.5,3,0.995,,FALSE,TRUE,0.15,0.45,3,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
43,0.756333333,10.22059855,27:09.4,27:40.7,0 days 00:00:31.293741,,,0.35,0.6,3,0.9,,FALSE,TRUE,0.2,0.45,3,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
49,0.756333333,10.75445718,30:22.7,30:55.7,0 days 00:00:32.938839,lamp,TRUE,,0.5,4,0.995,,,TRUE,0.3,0.5,5,TRUE,4,TRUE,0.05,1,TRUE,0.85,3,group,FALSE,,0,COMPLETE
20,0.755666667,10.68699869,14:31.4,15:04.2,0 days 00:00:32.799921,fpgm,TRUE,0.35,0.8,2,0.99,layer,TRUE,TRUE,0,0.5,3,TRUE,3,TRUE,0.05,1,FALSE,0.85,4,bnscale,TRUE,0.15,0,COMPLETE
78,0.753333333,10.00110257,46:10.7,46:41.3,0 days 00:00:30.647626,,,0.45,0.35,2,0.9,batch,FALSE,TRUE,0,0.45,0,FALSE,,,,,,,,,TRUE,0,1,COMPLETE
93,0.749,10.66455112,54:20.9,54:53.5,0 days 00:00:32.679472,group,TRUE,,0.35,4,0.99,,,TRUE,0.15,0.5,2,TRUE,2,FALSE,,4,TRUE,0.85,4,base,FALSE,,1,COMPLETE
22,0.747333333,10.81713109,15:36.0,16:09.1,0 days 00:00:33.063461,,,0.2,0.35,3,0.99,layer,FALSE,FALSE,0.1,,0,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
89,0.747333333,10.38054497,52:11.9,52:43.7,0 days 00:00:31.786674,,,0.3,0.1,6,0.9,batch,FALSE,TRUE,0.15,0.2,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
73,0.742,11.24061335,43:21.6,43:58.3,0 days 00:00:36.654711,,,0.25,0.05,6,0.99,layer,TRUE,TRUE,0.1,0.25,4,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
35,0.721333333,11.00741658,22:43.2,23:16.9,0 days 00:00:33.758507,lamp,FALSE,0.3,0.75,6,0.99,layer,TRUE,TRUE,0.15,0.15,5,TRUE,4,TRUE,0.5,1,FALSE,0.85,3,group,TRUE,0.25,0,COMPLETE
57,0.711333333,11.09163726,34:43.1,35:17.1,0 days 00:00:33.993075,group,TRUE,0.1,0.75,6,0.99,layer,TRUE,TRUE,0.2,0.1,5,TRUE,5,FALSE,,5,FALSE,0.65,3,bnscale,FALSE,,1,COMPLETE
54,0.707333333,10.35247839,33:08.1,33:39.8,0 days 00:00:31.703840,,,0.7,0.85,2,0.99,batch,FALSE,FALSE,0.15,,0,FALSE,,,,,,,,,TRUE,0.1,1,COMPLETE
86,0.705,10.6294238,50:32.8,51:05.3,0 days 00:00:32.516502,,,0.75,0.65,4,0.99,,TRUE,FALSE,0.15,,2,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
2,0.694666667,10.99819599,04:15.0,04:48.7,0 days 00:00:33.630762,,,0.8,0.85,6,0.99,batch,FALSE,TRUE,0.15,0.4,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
19,0.686333333,10.82388557,13:58.3,14:31.4,0 days 00:00:33.099459,,,0.3,0.35,6,0.99,layer,FALSE,TRUE,0.15,0.4,4,FALSE,,,,,,,,,TRUE,0.3,0,COMPLETE
83,0.686333333,11.10863461,48:52.4,49:26.4,0 days 00:00:34.018594,group,FALSE,,0.8,5,0.9,,,TRUE,0.3,0,3,TRUE,2,FALSE,,0,TRUE,0.55,1,group,TRUE,0,1,COMPLETE
8,0.684333333,11.35594129,07:43.8,08:18.6,0 days 00:00:34.797788,group,TRUE,0.8,0.2,2,0.9,batch,TRUE,FALSE,0.2,,0,TRUE,4,FALSE,,1,FALSE,0.55,3,base,TRUE,0.05,0,COMPLETE
85,0.682,10.95212008,49:59.2,50:32.8,0 days 00:00:33.588080,group,TRUE,0.4,0.2,2,0.9,layer,TRUE,FALSE,0.2,,0,TRUE,3,FALSE,,2,FALSE,0.8,4,group,TRUE,0.35,1,COMPLETE
21,0.676666667,10.36382909,15:04.3,15:36.0,0 days 00:00:31.723050,,,0.35,0.75,5,0.99,,TRUE,FALSE,0,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
50,0.639666667,10.53244456,30:55.7,31:28.1,0 days 00:00:32.358826,lamp,FALSE,0.45,0.75,6,0.995,,TRUE,TRUE,0.2,0.05,5,TRUE,4,TRUE,0.4,1,FALSE,0.65,1,group,FALSE,,1,COMPLETE
3,0.634666667,11.55753403,04:48.7,05:24.1,0 days 00:00:35.406079,fpgm,TRUE,,0.05,6,0.99,,,TRUE,0.15,0,4,TRUE,5,FALSE,,3,TRUE,0.75,5,base,FALSE,,0,COMPLETE
25,0.606666667,10.98734332,17:14.8,17:48.3,0 days 00:00:33.568430,,,0.25,0.65,6,0.99,layer,TRUE,FALSE,0,,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
9,0.6,10.72646836,08:18.7,08:51.5,0 days 00:00:32.880451,fpgm,FALSE,,0.8,5,0.99,,,TRUE,0,0.05,1,TRUE,5,TRUE,0.2,4,TRUE,0.7,2,group,FALSE,,0,COMPLETE
69,0.593,10.34942843,41:14.0,41:45.7,0 days 00:00:31.731335,fpgm,TRUE,,0.8,2,0.99,,,FALSE,0,,0,TRUE,4,TRUE,0.05,5,TRUE,0.7,1,bnscale,TRUE,0.2,1,COMPLETE
42,0.586,11.25007561,26:35.0,27:09.4,0 days 00:00:34.437404,lamp,FALSE,,0.1,5,0.9,,,FALSE,0.3,,1,TRUE,5,FALSE,,3,TRUE,0.5,5,bnscale,FALSE,,0,COMPLETE
92,0.546666667,10.35904196,53:49.1,54:20.8,0 days 00:00:31.781355,fpgm,TRUE,0.2,0.35,6,0.995,,TRUE,TRUE,0.05,0.35,4,TRUE,4,FALSE,,1,FALSE,0.85,3,bnscale,FALSE,,1,COMPLETE
18,0.520333333,10.68917967,13:25.5,13:58.3,0 days 00:00:32.786832,group,TRUE,,0.7,6,0.995,,,TRUE,0,0.4,4,TRUE,3,TRUE,0.1,0,TRUE,0.6,5,group,FALSE,,0,COMPLETE
4,0.511666667,11.30155792,05:24.1,05:58.7,0 days 00:00:34.577004,,,0.1,0.05,6,0.99,,TRUE,TRUE,0.1,0,4,FALSE,,,,,,,,,TRUE,0,0,COMPLETE
48,0.459,11.1329543,29:48.6,30:22.7,0 days 00:00:34.078899,lamp,TRUE,,0.4,6,0.995,,,TRUE,0.2,0.45,5,TRUE,2,FALSE,,4,TRUE,0.5,1,group,FALSE,,0,COMPLETE
47,0.449666667,10.77917976,29:15.6,29:48.6,0 days 00:00:33.024551,group,FALSE,,0.2,6,0.9,,,FALSE,0.2,,4,TRUE,2,TRUE,0.45,0,TRUE,0.8,2,base,TRUE,0.25,0,COMPLETE
98,0.441,10.59001508,57:06.1,57:38.6,0 days 00:00:32.448873,lamp,FALSE,,0.05,6,0.99,,,FALSE,0.15,,3,TRUE,3,FALSE,,0,TRUE,0.75,2,group,FALSE,,1,COMPLETE
23,0.435,10.80210949,16:09.1,16:42.1,0 days 00:00:33.039512,,,0.1,0.9,6,0.995,layer,FALSE,FALSE,0.05,,4,FALSE,,,,,,,,,TRUE,0.3,0,COMPLETE
16,0.428,10.068786,12:22.4,12:53.3,0 days 00:00:30.930224,fpgm,FALSE,0.25,0.1,6,0.9,,FALSE,TRUE,0,0,4,TRUE,5,FALSE,,5,FALSE,0.65,2,group,FALSE,,0,COMPLETE
5,0.425333333,11.84450163,05:58.7,06:35.0,0 days 00:00:36.244278,fpgm,TRUE,,0.5,6,0.9,,,FALSE,0.2,,5,TRUE,5,TRUE,0.2,5,TRUE,0.5,5,group,FALSE,,0,COMPLETE
