number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
15,0.812795347,0.636374652,14:58.3,17:52.6,0 days 00:02:54.289329,lamp,FALSE,,0.6,1.61E-05,0.99,,,FALSE,0.2,,0.000301709,0.000156498,9.57E-05,TRUE,0.3,9.64E-05,TRUE,0.7,2,bnscale,FALSE,,0.107852672,0,COMPLETE
3,0.810493154,0.589119108,43:47.2,46:52.3,0 days 00:03:05.138533,fpgm,FALSE,,0.3,0.002538176,0.995,,,TRUE,0.05,0.25,2.93E-05,0.001444212,0.000567305,TRUE,0.05,7.29E-05,TRUE,0.7,2,base,TRUE,0.3,0.151336019,0,COMPLETE
82,0.807221616,0.70519811,02:03.6,04:34.8,0 days 00:02:31.196695,fpgm,TRUE,,0.3,0.001586409,0.8,,,FALSE,0.15,,5.09E-05,0.006362541,0.002186195,TRUE,0.25,0.002609042,TRUE,0.8,1,base,FALSE,,0.002486802,1,COMPLETE
1,0.806494608,0.921846601,38:23.5,41:09.9,0 days 00:02:46.470380,lamp,FALSE,,0.5,1.59E-05,0.8,,,TRUE,0.2,0.5,1.14E-05,0.000109802,1.06E-05,TRUE,0.05,0.000123322,TRUE,0.8,1,group,TRUE,0.15,0.000129683,0,COMPLETE
13,0.806131104,0.445171453,09:52.7,12:32.7,0 days 00:02:40.048154,group,TRUE,,0.9,0.000155488,0.8,,,FALSE,0.25,,0.010030913,4.22E-05,0.000516749,TRUE,0.15,0.02497847,TRUE,0.8,1,base,TRUE,0.25,0.473599017,0,COMPLETE
63,0.798497516,0.930086029,15:09.3,17:41.1,0 days 00:02:31.744637,fpgm,FALSE,,0.8,1.59E-05,0.995,,,TRUE,0.3,0.15,0.000126836,0.000109802,0.002053424,FALSE,,0.000515527,TRUE,0.8,1,base,FALSE,,0.000129683,1,COMPLETE
37,0.797043499,0.931661214,08:14.0,11:05.3,0 days 00:02:51.282325,fpgm,FALSE,,0.6,2.63E-05,0.995,,,TRUE,0.25,0.15,0.036837769,0.000277453,5.13E-05,TRUE,0.05,9.91E-05,TRUE,0.7,1,group,TRUE,0.5,0.000588176,0,COMPLETE
32,0.790985096,0.490730643,56:45.7,59:01.3,0 days 00:02:15.551002,lamp,TRUE,0.35,0.4,0.000518572,0.9,batch,FALSE,TRUE,0.25,0.3,3.51E-05,0.000347301,0.006670132,FALSE,,0.013799079,FALSE,0.8,2,bnscale,FALSE,,0.028429857,0,COMPLETE
62,0.788925239,0.92257361,12:36.7,15:09.3,0 days 00:02:32.617934,lamp,TRUE,,0.5,1.59E-05,0.9,,,TRUE,0.2,0.05,0.024944797,0.000109802,1.06E-05,TRUE,0.05,0.000123322,TRUE,0.8,1,base,TRUE,0.25,0.000129683,1,COMPLETE
90,0.788440567,0.695383497,21:24.2,23:40.2,0 days 00:02:15.977460,group,FALSE,,0.9,0.001347135,0.99,,,TRUE,0.1,0.4,0.003794856,1.62E-05,0.001667021,FALSE,,0.145191978,TRUE,0.9,1,bnscale,TRUE,0.5,0.006312258,1,COMPLETE
9,0.788319399,0.526475221,59:54.5,02:18.2,0 days 00:02:23.680057,group,FALSE,,0.7,8.58E-05,0.995,,,TRUE,0.3,0.05,0.034160379,0.000881192,0.000164436,FALSE,,0.212731947,TRUE,0.9,2,base,FALSE,,0.107249131,0,COMPLETE
80,0.786017206,0.817157397,56:51.7,59:06.4,0 days 00:02:14.649331,fpgm,TRUE,,0.9,9.43E-05,0.9,,,TRUE,0.15,0,0.024944797,0.006362541,0.002186195,TRUE,0.15,0.017161163,TRUE,0.9,1,base,TRUE,0.45,0.002486802,1,COMPLETE
42,0.775717921,0.75705804,20:57.7,23:45.4,0 days 00:02:47.707678,fpgm,TRUE,,0.9,1.27E-05,0.9,,,TRUE,0.15,0.25,0.024944797,0.006362541,0.002186195,TRUE,0.3,0.000218911,TRUE,0.8,1,base,TRUE,0,0.002486802,0,COMPLETE
49,0.77014419,0.432327638,38:03.1,40:35.2,0 days 00:02:32.158307,group,FALSE,,0.4,0.000606488,0.9,,,TRUE,0.05,0.4,0.008251251,0.00049195,1.41E-05,TRUE,0.1,0.007398177,TRUE,0.9,1,bnscale,FALSE,,0.574039088,0,COMPLETE
77,0.766266812,0.924754635,49:35.6,51:51.0,0 days 00:02:15.449018,lamp,TRUE,0.8,0.3,0.001586409,0.9,batch,TRUE,FALSE,0.15,,0.000364556,0.00475157,0.000118197,TRUE,0.5,0.319229407,FALSE,0.8,1,group,FALSE,,0.000174333,1,COMPLETE
61,0.728098873,0.728704713,10:33.7,12:36.7,0 days 00:02:02.983679,group,FALSE,0.45,0.2,5.44E-05,0.9,layer,TRUE,FALSE,0,,0.001422219,0.008598957,0.000806798,TRUE,0.15,0.001529936,FALSE,0.9,2,base,FALSE,,0.0014205,1,COMPLETE
99,0.726160184,0.919180904,43:05.4,45:13.7,0 days 00:02:08.314779,lamp,FALSE,0.45,0.7,1.59E-05,0.995,layer,FALSE,TRUE,0.05,0.1,0.000594623,0.000109802,4.09E-05,TRUE,0.2,0.000123322,FALSE,0.9,1,base,FALSE,,0.000129683,1,COMPLETE
0,0.716709075,0.921119593,35:46.4,38:23.4,0 days 00:02:37.057488,lamp,TRUE,,0.9,4.30E-05,0.8,,,TRUE,0,0.15,0.195985033,6.28E-05,0.001793083,TRUE,0.05,0.004259106,TRUE,0.8,1,group,FALSE,,2.04E-05,0,COMPLETE
8,0.696595178,0.886465528,57:14.7,59:54.5,0 days 00:02:39.814940,lamp,TRUE,0.3,0.8,0.00060288,0.8,layer,TRUE,FALSE,0.2,,0.026574459,0.002101847,0.000723996,TRUE,0.45,1.86E-05,FALSE,0.7,1,bnscale,FALSE,,0.001330926,0,COMPLETE
20,0.687749909,0.928026172,27:24.2,29:52.4,0 days 00:02:28.254183,group,FALSE,0.2,0.7,0.000248456,0.995,,TRUE,FALSE,0.2,,0.000116372,7.76E-05,0.001713636,FALSE,,0.009559689,FALSE,0.7,1,bnscale,FALSE,,0.000370585,0,COMPLETE
16,0.675754271,0.880043621,17:52.6,20:01.4,0 days 00:02:08.749896,lamp,FALSE,0.8,0.4,0.002494489,0.995,,TRUE,FALSE,0.25,,0.000306774,0.001996489,0.000383963,TRUE,0,0.000419488,FALSE,0.9,3,base,FALSE,,0.001288971,0,COMPLETE
