scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,values,warnup
False,False,0.002042667270677376,3.0033539505190368e-05,9.119462850984506e-05,0.04183984543963362,2,0.8,base,lamp,False,False,"[0.9594692838967648, 0.8]",
True,False,0.0036807439777993742,1.169706745157314e-05,1.793550717066846e-05,0.5064161701186471,1,0.9,base,lamp,True,False,"[0.9582878953107961, 0.9]",0.0
False,False,0.002042667270677376,1.1984487415280562e-05,9.119462850984506e-05,0.04183984543963362,2,0.6,base,lamp,True,False,"[0.9606506724827336, 0.6]",
