scheduler,warnup,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,mpp_warnup,values
True,0.15000000000000002,True,0.004252602497780966,0.0005692045011514593,1.0720550100400664e-05,0.0004197862787552852,2,0.9,base,lamp,True,True,0.45,"[0.7593333333333333, 0.9]"
False,,False,0.008864195477627766,1.9367213886816915e-05,1.1499353885593368e-05,4.100510893906327e-05,3,0.7,base,group,True,False,,"[0.7843333333333332, 0.7]"
True,0.0,False,0.0011819175969748027,1.0901409020615222e-05,2.6065892181047857e-05,0.022095612082534518,2,0.8,bnscale,lamp,True,True,0.4,"[0.7716666666666666, 0.8]"
