number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
52,0.9160305343511451,0.7,2025-05-15 08:36:44.231245,2025-05-15 08:37:54.755167,0 days 00:01:10.523922,1,COMPLETE,0.7,2.4855779387527063e-05,0.0004073718531095295,0.1,False,,1.7784847964140295e-05,0.05575573868871112,1,True,60.0,0.0,group,fpgm,False
44,0.9138495092693567,0.6,2025-05-15 08:24:46.917106,2025-05-15 08:26:18.282269,0 days 00:01:31.365163,0,COMPLETE,0.6,5.4051554768725344e-05,8.157659851709508e-05,0.0,False,,0.0017125498138695235,0.00015908846678230266,3,True,30.0,0.05,bnscale,lamp,True
90,0.9137283412092572,0.7,2025-05-15 09:25:36.542196,2025-05-15 09:26:41.969977,0 days 00:01:05.427781,1,COMPLETE,0.7,0.0001429241730931663,0.003557341651578312,0.05,True,60.0,0.00016816728343812276,0.00023012169175247823,3,True,60.0,0.0,group,group,False
62,0.9132436689688598,0.7,2025-05-15 08:49:48.169112,2025-05-15 08:50:56.514522,0 days 00:01:08.345410,1,COMPLETE,0.7,3.550996617293674e-05,0.0004829207223754757,0.15,False,,0.004162918136842221,0.16368450011877322,3,False,,0.0,bnscale,fpgm,False
35,0.9131225009087606,0.7,2025-05-15 08:11:53.747591,2025-05-15 08:13:07.348541,0 days 00:01:13.600950,0,COMPLETE,0.7,3.863505852087642e-05,0.0004829207223754757,0.15,True,30.0,0.0001422798047352165,2.5850115256959983e-05,3,False,,0.0,base,fpgm,True
93,0.9125166606082636,0.6,2025-05-15 09:29:13.027519,2025-05-15 09:30:34.279986,0 days 00:01:21.252467,1,COMPLETE,0.6,6.979932532512066e-05,0.005093753971135847,0.05,False,,0.00646364592648654,0.2643820892025046,3,False,,0.05,base,fpgm,True
81,0.9121531564279657,0.7,2025-05-15 09:14:08.759013,2025-05-15 09:15:21.730207,0 days 00:01:12.971194,1,COMPLETE,0.7,3.550996617293674e-05,0.0018035788001400635,0.15,False,,0.0032123226105453353,0.16368450011877322,3,False,,0.15,bnscale,fpgm,False
50,0.9121531564279656,0.7,2025-05-15 08:34:31.303434,2025-05-15 08:35:37.369773,0 days 00:01:06.066339,1,COMPLETE,0.7,3.550996617293674e-05,0.0004829207223754757,0.15,True,90.0,0.0001422798047352165,2.5850115256959983e-05,3,True,120.0,0.0,base,fpgm,False
56,0.9114261480673695,0.7,2025-05-15 08:42:17.199020,2025-05-15 08:43:23.460791,0 days 00:01:06.261771,1,COMPLETE,0.7,3.863505852087642e-05,2.843154613378784e-05,0.0,True,60.0,0.0001422798047352165,2.5850115256959983e-05,3,False,,0.0,base,fpgm,True
87,0.9083969465648855,0.7,2025-05-15 09:21:39.315720,2025-05-15 09:22:45.090658,0 days 00:01:05.774938,1,COMPLETE,0.7,3.550996617293674e-05,0.0004829207223754757,0.05,True,150.0,2.4248835630875506e-05,2.5850115256959983e-05,3,True,60.0,0.0,base,fpgm,False
31,0.8990670059372349,0.6,2025-05-15 08:06:35.141923,2025-05-15 08:08:05.319934,0 days 00:01:30.178011,0,COMPLETE,0.6,0.00039521259816032665,0.00528461007572705,0.15,True,150.0,0.0013354537889540786,0.6050440634851186,3,False,,0.1,bnscale,group,True
64,0.897370653095844,0.7,2025-05-15 08:52:06.765855,2025-05-15 08:53:13.341455,0 days 00:01:06.575600,1,COMPLETE,0.7,0.0005217424489386896,0.005093753971135847,0.15,True,120.0,0.0013354537889540786,0.6050440634851186,2,True,90.0,0.05,base,fpgm,True
4,0.8957954683145523,0.7,2025-05-15 07:25:41.262392,2025-05-15 07:26:55.148701,0 days 00:01:13.886309,0,COMPLETE,0.7,3.368473078097966e-05,0.0052887558546854735,0.05,False,,0.0034406807057463227,0.589879613049789,1,True,30.0,0.0,group,lamp,True
48,0.8924027626317703,0.5,2025-05-15 08:31:48.594309,2025-05-15 08:33:25.232325,0 days 00:01:36.638016,0,COMPLETE,0.5,0.00028792144725278847,0.004456626568352895,0.1,False,,0.0022712407430747266,0.08023760831053571,2,False,,0.0,group,lamp,True
27,0.8917969223312735,0.5,2025-05-15 08:01:06.137834,2025-05-15 08:02:56.036401,0 days 00:01:49.898567,0,COMPLETE,0.5,0.0002276878667068873,0.005626408118255228,0.05,False,,2.4248835630875506e-05,0.016468680859106882,2,True,150.0,0.05,base,group,False
18,0.8897370653095845,0.5,2025-05-15 07:47:43.321749,2025-05-15 07:49:27.867479,0 days 00:01:44.545730,0,COMPLETE,0.5,0.001273953454425476,0.002537389296774493,0.15,False,,0.0015212381995905171,1.412560920322682e-05,2,True,60.0,0.05,bnscale,fpgm,True
