number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
79,0.8356666666666666,2025-05-21 01:52:14.437827,2025-05-21 01:53:16.449296,0 days 00:01:02.011469,mse,True,,COMPLETE,0.6,0.99,0.99,0.0002932743001683922,0.008125903056802499,1.0,0.0,0.05,False,,0.2
45,0.8356666666666666,2025-05-21 01:28:19.545144,2025-05-21 01:28:58.821695,0 days 00:00:39.276551,cwd,True,2.25,COMPLETE,0.6,0.99,0.99,0.0005918390191505363,0.01345959882169405,1.75,0.0,0.15,False,,0.25
101,0.8356666666666666,2025-05-21 02:08:23.529865,2025-05-21 02:09:14.344317,0 days 00:00:50.814452,mse,True,,COMPLETE,0.6,0.99,0.99,0.00024146343097924765,0.004461850470471728,1.0,0.0,0.1,False,,0.25
94,0.8353333333333334,2025-05-21 02:03:23.557632,2025-05-21 02:04:01.900476,0 days 00:00:38.342844,mse,True,,COMPLETE,0.6,0.99,0.99,0.0003481271650685731,0.046802988976280414,2.5,0.0,0.05,False,,0.25
122,0.8353333333333333,2025-05-21 02:22:53.882093,2025-05-21 02:23:40.044376,0 days 00:00:46.162283,mse,True,,COMPLETE,0.6,0.995,0.995,0.0001733397533261671,0.009378168906899917,2.5,0.25,0.1,False,,0.05
50,0.8353333333333333,2025-05-21 01:31:25.517125,2025-05-21 01:32:10.061144,0 days 00:00:44.544019,cwd,True,3.75,COMPLETE,0.6,0.99,0.99,0.00025685127812101347,0.00293950237274577,2.0,0.0,0.1,False,,0.25
104,0.8353333333333333,2025-05-21 02:10:56.084543,2025-05-21 02:11:46.154280,0 days 00:00:50.069737,mse,True,,COMPLETE,0.6,0.99,0.99,0.0003880504274981934,0.009699851618311335,1.5,0.0,0.1,False,,0.2
73,0.835,2025-05-21 01:48:10.037426,2025-05-21 01:48:53.187342,0 days 00:00:43.149916,mse,True,,COMPLETE,0.6,0.99,0.99,0.00012184023372596396,0.02485837262494428,1.5,0.0,0.05,False,,0.2
120,0.835,2025-05-21 02:21:33.106256,2025-05-21 02:22:10.793637,0 days 00:00:37.687381,mse,True,,COMPLETE,0.6,0.995,0.995,0.00024511875875276294,0.00379028279321221,2.5,0.25,0.1,False,,0.05
111,0.8346666666666667,2025-05-21 02:15:51.747685,2025-05-21 02:16:29.114801,0 days 00:00:37.367116,mse,True,,COMPLETE,0.6,0.99,0.99,0.00016836073702485854,0.016492811992160437,1.75,0.0,0.1,False,,0.1
91,0.8346666666666667,2025-05-21 02:01:27.119327,2025-05-21 02:02:02.751200,0 days 00:00:35.631873,mse,True,,COMPLETE,0.6,0.99,0.99,0.00019995874103654931,0.014564921907107222,1.75,0.0,0.05,False,,0.2
121,0.8346666666666667,2025-05-21 02:22:10.843208,2025-05-21 02:22:53.831327,0 days 00:00:42.988119,mse,True,,COMPLETE,0.6,0.995,0.995,0.0004582799524703837,0.007404556346974135,2.75,0.25,0.1,False,,0.0
