2025-04-24 23:59:27 - sandbox - [INFO]: Test Logger Initialized!
2025-04-24 23:59:27 - sandbox - [ERROR]: Test Error Message!
2025-04-24 23:59:27 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:00:53 - sandbox - [INFO]: Test Logger Initialized!
2025-04-25 00:00:53 - sandbox - [ERROR]: Test Error Message!
2025-04-25 00:00:53 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:01:10 - sandbox - [INFO]: Test Logger Initialized!
2025-04-25 00:01:10 - sandbox - [ERROR]: Test Error Message!
2025-04-25 00:01:10 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:01:12 - engine - [INFO]: Epoch: 01, Loss: nan, valLoss: nan, Train: 3.10%, Valid: 3.13%, Test: 3.42%, 
2025-04-25 00:04:01 - engine - [INFO]: Epoch: 240, Loss: 1.843, valLoss: 1.875, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:01 - engine - [INFO]: Epoch: 250, Loss: 1.841, valLoss: 1.873, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:02 - engine - [INFO]: Epoch: 260, Loss: 1.839, valLoss: 1.871, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:02 - engine - [INFO]: Epoch: 270, Loss: 1.837, valLoss: 1.869, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:03 - engine - [INFO]: Epoch: 280, Loss: 1.834, valLoss: 1.867, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:03 - engine - [INFO]: Epoch: 290, Loss: 1.832, valLoss: 1.866, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:04 - engine - [INFO]: Epoch: 300, Loss: 1.830, valLoss: 1.864, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:04 - engine - [INFO]: Epoch: 310, Loss: 1.829, valLoss: 1.863, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:04 - engine - [INFO]: Epoch: 320, Loss: 1.828, valLoss: 1.862, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:05 - engine - [INFO]: Epoch: 330, Loss: 1.826, valLoss: 1.861, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:05 - engine - [INFO]: Epoch: 340, Loss: 1.828, valLoss: 1.860, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:06 - engine - [INFO]: Epoch: 350, Loss: 1.825, valLoss: 1.860, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:06 - engine - [INFO]: Epoch: 360, Loss: 1.825, valLoss: 1.859, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:07 - engine - [INFO]: Epoch: 370, Loss: 1.823, valLoss: 1.859, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:07 - engine - [INFO]: Epoch: 380, Loss: 1.823, valLoss: 1.858, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:08 - engine - [INFO]: Epoch: 390, Loss: 1.821, valLoss: 1.858, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:08 - engine - [INFO]: Epoch: 400, Loss: 1.821, valLoss: 1.858, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:09 - engine - [INFO]: Epoch: 410, Loss: 1.822, valLoss: 1.857, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
