scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,mpp_warnup,values,warnup
False,True,0.0009722927221284248,5.05145669852213e-05,0.0061307421039238225,1.3539737898347424e-05,3,0.6,bnscale,lamp,False,True,0.1,"[0.9742028985507245, 0.6]",
True,True,0.002607983950789219,0.00011643672266880325,0.0032174156694326915,0.024028978015369715,2,0.8,bnscale,lamp,False,False,,"[0.9715458937198068, 0.8]",0.15000000000000002
False,True,0.0012143343977546414,0.0003782259585634051,0.006510205111907521,0.0028670037285162043,2,0.7,group,fpgm,True,True,0.25,"[0.9722705314009662, 0.7]",
False,False,0.007043297662570138,0.00427187720852742,0.00015749427723181993,0.0016034848573108509,3,0.9,group,lamp,False,False,,"[0.9678743961352657, 0.9]",
