number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
91,0.7323333333333334,2025-05-19 17:52:40.294849,2025-05-19 17:53:05.751383,0 days 00:00:25.456534,True,0.75,COMPLETE,0.7,0.995,0.995,2.736194146133085e-05,0.0008945896786029713,1.4,0.1,0.0,True,90.0,0.05
69,0.7323333333333334,2025-05-19 17:42:34.708603,2025-05-19 17:43:03.207732,0 days 00:00:28.499129,True,0.75,COMPLETE,0.7,0.995,0.995,2.1311271509249555e-05,0.001115141877546262,1.4,0.2,0.05,True,120.0,0.05
115,0.7320000000000001,2025-05-19 18:03:28.294719,2025-05-19 18:03:56.946625,0 days 00:00:28.651906,True,1.25,COMPLETE,0.7,0.995,0.995,2.2066409570598653e-05,0.0007101176648930892,1.25,0.15000000000000002,0.0,True,120.0,0.05
109,0.7320000000000001,2025-05-19 18:00:41.186346,2025-05-19 18:01:08.780600,0 days 00:00:27.594254,True,1.5,COMPLETE,0.7,0.995,0.995,2.0014761430685134e-05,0.0019527297091229338,0.95,0.0,0.0,True,60.0,0.0
74,0.7319999999999999,2025-05-19 17:44:56.544782,2025-05-19 17:45:24.249839,0 days 00:00:27.705057,True,0.5,COMPLETE,0.7,0.995,0.995,1.991615916039821e-05,0.0013823163921998934,1.35,0.1,0.0,True,120.0,0.05
98,0.7319999999999999,2025-05-19 17:55:36.151701,2025-05-19 17:56:02.941035,0 days 00:00:26.789334,True,0.5,COMPLETE,0.7,0.995,0.995,2.3092858628692328e-05,0.0012317602655270645,1.4500000000000002,0.05,0.0,True,90.0,0.0
103,0.7316666666666666,2025-05-19 17:57:49.831552,2025-05-19 17:58:18.947955,0 days 00:00:29.116403,True,0.75,COMPLETE,0.7,0.995,0.995,1.3828415853372112e-05,0.0005794349071843176,1.35,0.1,0.0,True,120.0,0.05
85,0.7316666666666666,2025-05-19 17:49:59.935444,2025-05-19 17:50:25.004105,0 days 00:00:25.068661,True,1.0,COMPLETE,0.7,0.995,0.995,2.871057584302257e-05,0.0003511163947464573,1.2000000000000002,0.15000000000000002,0.0,True,90.0,0.0
122,0.7316666666666666,2025-05-19 18:06:43.642825,2025-05-19 18:07:10.825045,0 days 00:00:27.182220,True,0.75,COMPLETE,0.7,0.995,0.995,2.3675954340725145e-05,0.0007912553023398887,1.35,0.05,0.0,True,120.0,0.0
116,0.7316666666666666,2025-05-19 18:03:56.986260,2025-05-19 18:04:24.575264,0 days 00:00:27.589004,True,0.5,COMPLETE,0.7,0.995,0.995,1.833952036827731e-05,0.0015761334798126885,1.1,0.05,0.0,True,120.0,0.0
106,0.7313333333333333,2025-05-19 17:59:16.770778,2025-05-19 17:59:44.278792,0 days 00:00:27.508014,True,0.25,COMPLETE,0.7,0.995,0.995,2.1963643100484042e-05,0.0014458627860428044,1.25,0.05,0.0,True,120.0,0.0
100,0.7313333333333333,2025-05-19 17:56:27.568699,2025-05-19 17:56:53.497471,0 days 00:00:25.928772,True,0.5,COMPLETE,0.7,0.995,0.995,2.8808053384191882e-05,0.0007274727720913698,1.3,0.05,0.0,True,120.0,0.1
89,0.7313333333333333,2025-05-19 17:51:46.276814,2025-05-19 17:52:13.782601,0 days 00:00:27.505787,True,0.5,COMPLETE,0.7,0.995,0.995,1.7274169812367653e-05,0.0021581360679283753,1.3,0.05,0.0,True,60.0,0.05
80,0.7313333333333333,2025-05-19 17:47:44.471139,2025-05-19 17:48:10.845361,0 days 00:00:26.374222,True,0.75,COMPLETE,0.7,0.995,0.995,1.9272458221035085e-05,0.0015623175068839828,1.2000000000000002,0.05,0.0,True,120.0,0.0
61,0.7313333333333333,2025-05-19 17:39:14.178797,2025-05-19 17:39:39.394910,0 days 00:00:25.216113,True,1.75,COMPLETE,0.7,0.995,0.995,4.864331615350162e-05,0.003108897140707267,1.5,0.25,0.05,True,150.0,0.05
75,0.731,2025-05-19 17:45:24.310243,2025-05-19 17:45:52.380540,0 days 00:00:28.070297,True,0.5,COMPLETE,0.7,0.995,0.995,2.4180495524199837e-05,0.001720144728275061,1.3,0.1,0.0,True,120.0,0.05
76,0.7309999999999999,2025-05-19 17:45:52.422263,2025-05-19 17:46:21.375741,0 days 00:00:28.953478,True,0.75,COMPLETE,0.7,0.995,0.995,1.3090275165573661e-05,0.0004665564854299223,1.35,0.15000000000000002,0.0,True,120.0,0.05
81,0.7306666666666667,2025-05-19 17:48:10.886011,2025-05-19 17:48:38.652257,0 days 00:00:27.766246,True,1.25,COMPLETE,0.7,0.995,0.995,1.0015598779632232e-05,0.0004111309182794939,1.3,0.15000000000000002,0.0,True,120.0,0.05
72,0.7306666666666666,2025-05-19 17:44:00.419202,2025-05-19 17:44:27.955492,0 days 00:00:27.536290,True,0.5,COMPLETE,0.7,0.995,0.995,1.900293018070888e-05,0.0011567754154128522,1.4,0.1,0.0,True,120.0,0.05
87,0.7306666666666666,2025-05-19 17:50:52.375187,2025-05-19 17:51:18.735123,0 days 00:00:26.359936,True,0.25,COMPLETE,0.7,0.995,0.995,1.525097384639252e-05,0.00018629473109571792,1.1,0.0,0.0,True,90.0,0.0
64,0.7303333333333333,2025-05-19 17:40:28.898334,2025-05-19 17:40:54.021096,0 days 00:00:25.122762,True,1.75,COMPLETE,0.7,0.995,0.995,3.2997485827942474e-05,0.0008743932319615206,1.5,0.2,0.05,True,150.0,0.0
95,0.73,2025-05-19 17:54:23.193028,2025-05-19 17:54:42.759194,0 days 00:00:19.566166,True,0.25,COMPLETE,0.7,0.995,0.995,7.251293435074813e-05,0.00032206004080050755,1.3,0.1,0.0,True,90.0,0.0
62,0.7296666666666667,2025-05-19 17:39:39.434967,2025-05-19 17:40:04.389647,0 days 00:00:24.954680,True,1.75,COMPLETE,0.7,0.995,0.995,3.715232971531952e-05,0.0027636286380639335,1.5,0.25,0.05,True,150.0,0.0
107,0.7296666666666667,2025-05-19 17:59:44.319716,2025-05-19 18:00:12.993587,0 days 00:00:28.673871,True,0.5,COMPLETE,0.7,0.99,0.99,1.68183760481684e-05,0.00039099844510267026,1.55,0.2,0.0,True,120.0,0.05
19,0.7293333333333333,2025-05-19 17:23:43.185316,2025-05-19 17:24:06.222740,0 days 00:00:23.037424,False,2.25,COMPLETE,0.7,0.8,0.8,0.0003376183332983289,0.08127122133983748,1.8,0.25,0.1,False,,0.1
104,0.7293333333333333,2025-05-19 17:58:18.991164,2025-05-19 17:58:47.831745,0 days 00:00:28.840581,True,1.25,COMPLETE,0.7,0.995,0.995,1.745997789329729e-05,0.0002202941415888466,1.4500000000000002,0.1,0.0,True,90.0,0.05
96,0.729,2025-05-19 17:54:42.800503,2025-05-19 17:55:08.163236,0 days 00:00:25.362733,True,1.0,COMPLETE,0.7,0.995,0.995,4.065748067061174e-05,0.0009506420139078767,1.35,0.15000000000000002,0.0,True,120.0,0.1
123,0.729,2025-05-19 18:07:10.869533,2025-05-19 18:07:37.966753,0 days 00:00:27.097220,True,0.25,COMPLETE,0.7,0.995,0.995,1.9362105456834134e-05,0.00045967162362603155,0.65,0.05,0.0,True,90.0,0.0
97,0.7286666666666667,2025-05-19 17:55:08.204440,2025-05-19 17:55:36.100128,0 days 00:00:27.895688,True,1.0,COMPLETE,0.7,0.9,0.9,1.7157182007994778e-05,0.0038254674899043215,1.2000000000000002,0.0,0.0,True,60.0,0.05
57,0.7283333333333334,2025-05-19 17:37:33.349336,2025-05-19 17:37:58.642078,0 days 00:00:25.292742,True,4.5,COMPLETE,0.7,0.995,0.995,0.0007065202601554595,0.013768607472858416,1.5,0.30000000000000004,0.05,True,120.0,0.1
105,0.7280000000000001,2025-05-19 17:58:47.875655,2025-05-19 17:59:16.730956,0 days 00:00:28.855301,True,1.0,COMPLETE,0.7,0.995,0.995,1.0602383871172668e-05,0.0010529292648820698,1.4,0.15000000000000002,0.0,True,90.0,0.1
63,0.7280000000000001,2025-05-19 17:40:04.428207,2025-05-19 17:40:28.856643,0 days 00:00:24.428436,True,1.75,COMPLETE,0.7,0.995,0.995,3.3555759687560126e-05,0.0006468139695914479,1.5,0.2,0.05,True,150.0,0.0
114,0.7280000000000001,2025-05-19 18:03:01.835496,2025-05-19 18:03:28.249723,0 days 00:00:26.414227,True,0.5,COMPLETE,0.7,0.995,0.995,3.043837945198702e-05,0.0005210981502405661,1.35,0.2,0.0,True,120.0,0.05
65,0.7273333333333333,2025-05-19 17:40:54.069692,2025-05-19 17:41:19.225771,0 days 00:00:25.156079,True,1.5,COMPLETE,0.7,0.995,0.995,3.358791713537802e-05,0.0006597444880207885,1.4500000000000002,0.2,0.05,True,150.0,0.0
25,0.7273333333333333,2025-05-19 17:25:56.690063,2025-05-19 17:26:20.300112,0 days 00:00:23.610049,False,4.5,COMPLETE,0.7,0.8,0.8,0.0009056367683375353,0.009737466445318501,1.4500000000000002,0.30000000000000004,0.05,False,,0.2
60,0.7266666666666666,2025-05-19 17:38:52.106211,2025-05-19 17:39:14.138316,0 days 00:00:22.032105,True,1.75,COMPLETE,0.7,0.995,0.995,0.00010714387936079786,0.0023634897963265974,1.5,0.25,0.05,True,150.0,0.1
93,0.7263333333333334,2025-05-19 17:53:31.300335,2025-05-19 17:53:55.830503,0 days 00:00:24.530168,True,0.75,COMPLETE,0.7,0.995,0.995,4.7749414600852456e-05,0.0005046814208810924,1.35,0.15000000000000002,0.0,True,90.0,0.05
24,0.7263333333333333,2025-05-19 17:25:33.805714,2025-05-19 17:25:56.646408,0 days 00:00:22.840694,False,4.25,COMPLETE,0.7,0.8,0.8,0.0006818157534167684,0.015123179001995099,1.35,0.30000000000000004,0.1,False,,0.2
99,0.7263333333333333,2025-05-19 17:56:02.981438,2025-05-19 17:56:27.525584,0 days 00:00:24.544146,True,0.75,COMPLETE,0.7,0.995,0.995,6.04312548231751e-05,0.0026575494087133352,1.4,0.15000000000000002,0.0,True,120.0,0.05
53,0.7263333333333333,2025-05-19 17:36:14.940381,2025-05-19 17:36:38.346215,0 days 00:00:23.405834,False,3.5,COMPLETE,0.7,0.8,0.8,0.0007531271324521624,0.056658748654026404,1.8,0.30000000000000004,0.15,False,,0.25
77,0.726,2025-05-19 17:46:21.418992,2025-05-19 17:46:48.677314,0 days 00:00:27.258322,True,1.0,COMPLETE,0.7,0.995,0.995,2.3809522958332382e-05,0.00018076053694164474,1.25,0.1,0.0,True,120.0,0.05
42,0.726,2025-05-19 17:32:18.417268,2025-05-19 17:32:40.089263,0 days 00:00:21.671995,False,3.75,COMPLETE,0.7,0.8,0.8,0.0007356219527402299,0.015371195673342846,2.0,0.30000000000000004,0.05,False,,0.25
58,0.726,2025-05-19 17:37:58.684577,2025-05-19 17:38:24.387140,0 days 00:00:25.702563,True,4.5,COMPLETE,0.5,0.995,0.995,0.0003354067553380493,0.010469069198534395,1.4,0.2,0.05,True,120.0,0.1
31,0.7256666666666667,2025-05-19 17:28:04.718695,2025-05-19 17:28:28.407270,0 days 00:00:23.688575,False,3.75,COMPLETE,0.7,0.8,0.8,0.0010141514335314723,0.02211239057849321,1.85,0.30000000000000004,0.1,False,,0.2
102,0.7253333333333334,2025-05-19 17:57:21.050592,2025-05-19 17:57:49.789473,0 days 00:00:28.738881,True,1.5,COMPLETE,0.7,0.995,0.995,1.161215902570136e-05,0.0018133603683028058,1.1,0.05,0.0,True,90.0,0.05
66,0.725,2025-05-19 17:41:19.264868,2025-05-19 17:41:41.429794,0 days 00:00:22.164926,True,2.0,COMPLETE,0.7,0.995,0.995,4.705711042222451e-05,0.0002784688079541778,1.55,0.15000000000000002,0.05,True,150.0,0.0
90,0.725,2025-05-19 17:52:13.822101,2025-05-19 17:52:40.254361,0 days 00:00:26.432260,True,0.25,COMPLETE,0.7,0.99,0.99,1.461530244564551e-05,5.6034283444196444e-05,1.4500000000000002,0.15000000000000002,0.0,True,90.0,0.0
23,0.725,2025-05-19 17:25:10.728645,2025-05-19 17:25:33.759799,0 days 00:00:23.031154,False,3.5,COMPLETE,0.7,0.8,0.8,0.0008092104176057304,0.019136986334899,1.8,0.30000000000000004,0.15,False,,0.2
1,0.7243333333333334,2025-05-19 17:16:54.864703,2025-05-19 17:17:15.812991,0 days 00:00:20.948288,False,3.0,COMPLETE,0.5,0.99,0.99,0.00012751615914013975,0.00010266635358159485,0.6,0.35,0.15,False,,0.05
14,0.7233333333333333,2025-05-19 17:21:58.398374,2025-05-19 17:22:23.558149,0 days 00:00:25.159775,False,3.0,COMPLETE,0.7,0.99,0.99,0.0021104825373544356,0.001973940156596773,1.7000000000000002,0.25,0.15,False,,0.3
21,0.723,2025-05-19 17:24:29.365483,2025-05-19 17:24:50.076265,0 days 00:00:20.710782,False,2.25,COMPLETE,0.7,0.8,0.8,0.0004156492473454654,0.09213959363158603,1.8,0.25,0.15,False,,0.05
38,0.7223333333333333,2025-05-19 17:30:44.827983,2025-05-19 17:31:04.862926,0 days 00:00:20.034943,True,4.75,COMPLETE,0.7,0.995,0.995,0.0005777611093148502,0.016433930126640083,1.55,0.0,0.1,False,,0.2
29,0.7223333333333333,2025-05-19 17:27:21.943475,2025-05-19 17:27:42.382215,0 days 00:00:20.438740,True,3.75,COMPLETE,0.7,0.8,0.8,0.0003947064614838561,0.006658077743307003,1.4,0.1,0.05,True,150.0,0.2
12,0.7223333333333333,2025-05-19 17:21:12.794180,2025-05-19 17:21:37.273242,0 days 00:00:24.479062,False,0.25,COMPLETE,0.5,0.99,0.99,8.17638275260772e-05,0.000242000760409837,1.5,0.30000000000000004,0.0,False,,0.3
11,0.722,2025-05-19 17:20:50.334896,2025-05-19 17:21:12.751573,0 days 00:00:22.416677,False,1.75,COMPLETE,0.5,0.99,0.99,0.00014458667609688566,0.00026987526375324937,1.6,0.30000000000000004,0.0,False,,0.25
48,0.7216666666666667,2025-05-19 17:34:20.868564,2025-05-19 17:34:44.695787,0 days 00:00:23.827223,False,3.75,COMPLETE,0.7,0.8,0.8,0.0012875283234568403,0.0013048042925098604,1.6500000000000001,0.25,0.1,False,,0.2
50,0.7213333333333334,2025-05-19 17:35:09.083075,2025-05-19 17:35:28.750699,0 days 00:00:19.667624,False,5.0,COMPLETE,0.7,0.8,0.8,0.005381465279782058,0.008401692988097793,1.9500000000000002,0.35,0.0,False,,0.3
18,0.7210000000000001,2025-05-19 17:23:19.217201,2025-05-19 17:23:43.144170,0 days 00:00:23.926969,False,3.25,COMPLETE,0.7,0.99,0.99,0.0015123208222563446,7.310259976991728e-05,0.9,0.30000000000000004,0.15,True,150.0,0.1
44,0.721,2025-05-19 17:32:59.627713,2025-05-19 17:33:23.939378,0 days 00:00:24.311665,False,2.25,COMPLETE,0.7,0.9,0.9,0.00034179614514827204,0.014149817223598047,1.9000000000000001,0.25,0.05,False,,0.25
55,0.721,2025-05-19 17:36:54.968654,2025-05-19 17:37:16.178496,0 days 00:00:21.209842,False,2.25,COMPLETE,0.7,0.8,0.8,0.00042721166188508004,0.04565082326448809,1.85,0.35,0.1,False,,0.3
52,0.7203333333333334,2025-05-19 17:35:52.556201,2025-05-19 17:36:14.908501,0 days 00:00:22.352300,False,4.25,COMPLETE,0.7,0.8,0.8,0.0005462266970647265,0.01968929638731899,1.9000000000000001,0.30000000000000004,0.1,False,,0.15000000000000002
13,0.7196666666666666,2025-05-19 17:21:37.316508,2025-05-19 17:21:58.362108,0 days 00:00:21.045600,False,0.25,COMPLETE,0.5,0.99,0.99,5.870691249886575e-05,0.00011451617701609659,1.5,0.35,0.05,False,,0.05
33,0.7186666666666667,2025-05-19 17:28:53.351079,2025-05-19 17:29:17.284617,0 days 00:00:23.933538,False,3.75,COMPLETE,0.7,0.8,0.8,0.0016837922951694383,0.0047547876509657985,1.85,0.25,0.1,False,,0.15000000000000002
41,0.7186666666666666,2025-05-19 17:31:59.502710,2025-05-19 17:32:18.375789,0 days 00:00:18.873079,False,3.5,COMPLETE,0.7,0.8,0.8,0.000854498726540623,0.025333693667104563,1.85,0.30000000000000004,0.1,False,,0.2
3,0.7183333333333333,2025-05-19 17:17:36.292476,2025-05-19 17:18:00.352926,0 days 00:00:24.060450,False,1.75,COMPLETE,0.5,0.9,0.9,0.00015884607349911384,1.5781977224503677e-05,1.9000000000000001,0.30000000000000004,0.0,False,,0.2
54,0.718,2025-05-19 17:36:38.390033,2025-05-19 17:36:54.929025,0 days 00:00:16.538992,False,4.0,COMPLETE,0.7,0.8,0.8,0.0011531456230652146,0.07013810960033598,1.6500000000000001,0.25,0.05,False,,0.25
