model,full_edge,30% missing,60% missing,90% missing
PRISM(gcn),0.8111,0.803,0.7972,0.7719
PRISM(sage),0.796,0.7942,0.7921,0.7689
classic_gnn(gcn),0.7907,0.7796,0.7614,0.7289
classic_gnn(sage),0.8017,0.7927,0.769,0.7372
truned_gnn(mpp)(gcn),0.8052,0.7961,0.7721,0.7279
truned_gnn(mpp)(sage),0.8053,0.7938,0.7705,0.7381
