model,full_edge,30% missing,60% missing,90% missing
PRISM(gcn),0.7537,0.7248,0.7044,0.6637
PRISM(sage),0.7278,0.7123,0.6901,0.6284
classic_gnn(gcn),0.7172,0.667,0.6166,0.5983
classic_gnn(sage),0.6961,0.6639,0.6087,0.5568
truned_gnn(mpp)(gcn),0.7233,0.6829,0.6429,0.5951
truned_gnn(mpp)(sage),0.6834,0.6474,0.5998,0.5507
