scheduler,warnup,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,mpp_warnup,values
True,0.30000000000000004,True,0.0008719504646252608,0.3945078290992714,0.0007143181861961506,0.14132960725668958,1,0.8,group,lamp,True,True,0.4,"[0.7733333333333334, 0.8]"
True,0.5,True,0.006715535187258769,1.9427800641600895e-05,0.00017156196557876495,6.935909453283262e-05,1,0.5,base,fpgm,False,True,0.25,"[0.7793333333333333, 0.5]"
False,,False,0.003322596466408655,4.6940098168916655e-05,2.008847532884309e-05,0.4493718831668216,1,0.9,base,group,True,False,,"[0.7543333333333333, 0.9]"
False,,True,0.0024588997892739744,0.00014066840656822696,0.00016195045353536395,6.935909453283262e-05,3,0.6,bnscale,group,False,True,0.35000000000000003,"[0.7753333333333333, 0.6]"
