,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.7521,0.5396,0.721,0.8664,0.8641,0.7449,0.8987,0.9487
apcfi_PRISM(sage),0.7452,0.5394,0.7619,0.8466,0.881,0.7363,0.9169,0.9459
apcfi_classic_gnn(gcn),0.7617,0.5235,0.7517,0.3855,0.6941,0.748,0.7547,0.9146
apcfi_classic_gnn(sage),0.7648,0.5523,0.7495,0.8603,0.8984,0.7289,0.9023,0.9203
apcfi_truned_gnn(mpp)(gcn),0.7522,0.512,0.7522,0.8821,0.8616,0.7675,0.9088,0.9491
apcfi_truned_gnn(mpp)(sage),0.749,0.5472,0.7647,0.8682,0.88,0.7512,0.908,0.9269
fp_PRISM(gcn),0.7503,0.5436,0.6149,0.8469,0.7137,0.7103,0.8591,0.9477
fp_PRISM(sage),0.741,0.533,0.6624,0.7937,0.848,0.7031,0.9135,0.9354
fp_classic_gnn(gcn),0.7507,0.5443,0.7269,0.3851,0.6694,0.7294,0.3529,0.8676
fp_classic_gnn(sage),0.7575,0.5439,0.7406,0.8604,0.9069,0.7147,0.8977,0.8667
fp_truned_gnn(mpp)(gcn),0.7446,0.5161,0.7268,0.8856,0.725,0.7465,0.8403,0.946
fp_truned_gnn(mpp)(sage),0.741,0.5338,0.735,0.8785,0.8605,0.7478,0.9032,0.8664
zero_PRISM(gcn),0.2519,0.2276,0.3919,0.3834,0.2633,0.3565,0.2474,0.5141
zero_PRISM(sage),0.2241,0.2214,0.388,0.3853,0.2561,0.3203,0.2935,0.5175
zero_classic_gnn(gcn),0.5304,0.1784,0.4405,0.385,0.2821,0.5401,0.2274,0.5041
zero_classic_gnn(sage),0.4672,0.289,0.3992,0.5526,0.7207,0.4294,0.6072,0.5041
zero_truned_gnn(mpp)(gcn),0.6052,0.2296,0.4248,0.6767,0.8256,0.6915,0.2968,0.6014
zero_truned_gnn(mpp)(sage),0.4419,0.3141,0.3885,0.4011,0.2567,0.5869,0.4842,0.6664
