,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.8004,0.5932,0.7718,0.9161,0.9367,0.7853,0.93,0.9578
apcfi_PRISM(sage),0.784,0.5713,0.7753,0.8885,0.9168,0.778,0.9342,0.9545
apcfi_classic_gnn(gcn),0.7898,0.5656,0.7663,0.7244,0.8812,0.7744,0.8674,0.9442
apcfi_classic_gnn(sage),0.7869,0.5607,0.7759,0.9009,0.9337,0.7762,0.9289,0.9502
apcfi_truned_gnn(mpp)(gcn),0.7945,0.5729,0.7757,0.9194,0.9367,0.7871,0.9319,0.9577
apcfi_truned_gnn(mpp)(sage),0.782,0.5621,0.7771,0.9004,0.9157,0.7848,0.9324,0.9545
fp_PRISM(gcn),0.7853,0.591,0.7812,0.9115,0.9326,0.7697,0.935,0.9573
fp_PRISM(sage),0.7684,0.5716,0.775,0.8956,0.9059,0.7663,0.9355,0.955
fp_classic_gnn(gcn),0.779,0.5686,0.7865,0.5835,0.8764,0.7647,0.8332,0.945
fp_classic_gnn(sage),0.7625,0.5784,0.7721,0.9008,0.9339,0.7674,0.9301,0.9499
fp_truned_gnn(mpp)(gcn),0.7803,0.5743,0.7854,0.9172,0.9393,0.7742,0.9339,0.958
fp_truned_gnn(mpp)(sage),0.7611,0.5651,0.7801,0.9127,0.9096,0.7809,0.9339,0.9562
zero_PRISM(gcn),0.5441,0.439,0.549,0.7774,0.4961,0.7136,0.7932,0.7872
zero_PRISM(sage),0.5261,0.4006,0.5275,0.718,0.6503,0.6716,0.8743,0.7758
zero_classic_gnn(gcn),0.6694,0.4169,0.66,0.3851,0.3831,0.7402,0.3352,0.9006
zero_classic_gnn(sage),0.4922,0.3237,0.5279,0.87,0.9159,0.647,0.9076,0.8418
zero_truned_gnn(mpp)(gcn),0.7032,0.4353,0.6636,0.9157,0.647,0.7512,0.8814,0.9533
zero_truned_gnn(mpp)(sage),0.6471,0.3921,0.6592,0.8974,0.7293,0.7281,0.9144,0.9355
