,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.829,0.6956,0.8059,0.9271,0.9496,0.8029,0.9485,0.9639
apcfi_PRISM(sage),0.8081,0.6645,0.7823,0.9175,0.9428,0.7948,0.9528,0.9607
apcfi_classic_gnn(gcn),0.8236,0.6697,0.7905,0.7331,0.8971,0.7873,0.872,0.9514
apcfi_classic_gnn(sage),0.8083,0.6535,0.7777,0.9194,0.9452,0.7951,0.947,0.9607
apcfi_truned_gnn(mpp)(gcn),0.8191,0.6798,0.7946,0.9324,0.9455,0.7979,0.9484,0.9641
apcfi_truned_gnn(mpp)(sage),0.7902,0.6448,0.7749,0.929,0.9429,0.799,0.9492,0.963
fp_PRISM(gcn),0.8191,0.6691,0.8068,0.9248,0.9501,0.7946,0.9499,0.9656
fp_PRISM(sage),0.7932,0.6541,0.7896,0.9124,0.9416,0.7862,0.9527,0.9596
fp_classic_gnn(gcn),0.7982,0.6372,0.8006,0.704,0.8933,0.7869,0.8731,0.9517
fp_classic_gnn(sage),0.7967,0.6427,0.7742,0.9146,0.9422,0.7831,0.9465,0.9612
fp_truned_gnn(mpp)(gcn),0.8079,0.6578,0.7905,0.93,0.9446,0.7924,0.9481,0.9667
fp_truned_gnn(mpp)(sage),0.7793,0.6337,0.7836,0.9258,0.9434,0.7895,0.9509,0.9627
zero_PRISM(gcn),0.7577,0.6728,0.7494,0.9142,0.9333,0.7779,0.9435,0.947
zero_PRISM(sage),0.7384,0.6476,0.7731,0.8451,0.9056,0.7478,0.9453,0.9308
zero_classic_gnn(gcn),0.752,0.6373,0.7546,0.3847,0.8793,0.7819,0.7948,0.9521
zero_classic_gnn(sage),0.6556,0.5555,0.6747,0.8959,0.9365,0.7382,0.9438,0.9555
zero_truned_gnn(mpp)(gcn),0.7759,0.6537,0.7599,0.9309,0.9359,0.7849,0.9465,0.9628
zero_truned_gnn(mpp)(sage),0.7494,0.6084,0.742,0.9172,0.9204,0.7759,0.9449,0.9619
