,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.7775,0.55,0.7672,0.9081,0.9268,0.7698,0.9043,0.9488
apcfi_PRISM(sage),0.7647,0.5395,0.7679,0.8787,0.8975,0.7556,0.9106,0.9479
apcfi_classic_gnn(gcn),0.7836,0.5258,0.7699,0.7045,0.8765,0.762,0.8618,0.9393
apcfi_classic_gnn(sage),0.7542,0.5337,0.7564,0.8961,0.9229,0.7616,0.9003,0.9418
apcfi_truned_gnn(mpp)(gcn),0.7735,0.5392,0.7688,0.9145,0.9304,0.7781,0.9059,0.9502
apcfi_truned_gnn(mpp)(sage),0.7599,0.5542,0.7652,0.8915,0.8996,0.7654,0.9017,0.9452
fp_PRISM(gcn),0.77,0.5065,0.7598,0.9065,0.9281,0.7732,0.9046,0.949
fp_PRISM(sage),0.7607,0.5405,0.7745,0.8758,0.906,0.7671,0.9092,0.9469
fp_classic_gnn(gcn),0.7796,0.5109,0.7761,0.6539,0.8676,0.7608,0.814,0.9395
fp_classic_gnn(sage),0.7503,0.5313,0.7607,0.8896,0.9265,0.759,0.9027,0.9423
fp_truned_gnn(mpp)(gcn),0.7685,0.505,0.7662,0.9124,0.9311,0.78,0.9043,0.9503
fp_truned_gnn(mpp)(sage),0.7477,0.5488,0.7714,0.8937,0.9052,0.7632,0.9013,0.9469
zero_PRISM(gcn),0.278,0.2408,0.4024,0.4419,0.3217,0.248,0.2942,0.5347
zero_PRISM(sage),0.3062,0.234,0.4154,0.4358,0.2975,0.2448,0.3014,0.5438
zero_classic_gnn(gcn),0.6123,0.361,0.6636,0.3843,0.3997,0.7298,0.3138,0.8119
zero_classic_gnn(sage),0.5505,0.3654,0.6256,0.838,0.901,0.7254,0.8046,0.7775
zero_truned_gnn(mpp)(gcn),0.6796,0.3808,0.6684,0.9102,0.9225,0.7739,0.7151,0.907
zero_truned_gnn(mpp)(sage),0.6876,0.4339,0.7015,0.8723,0.6491,0.7492,0.8129,0.8485
