,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.8149,0.6308,0.7803,0.9351,0.9435,0.7892,0.9294,0.9603
apcfi_PRISM(sage),0.7868,0.6149,0.7754,0.9107,0.9329,0.7828,0.9309,0.956
apcfi_classic_gnn(gcn),0.8191,0.6247,0.7725,0.7036,0.8957,0.7758,0.8707,0.9526
apcfi_classic_gnn(sage),0.7904,0.6161,0.7562,0.9155,0.9404,0.7861,0.9279,0.9565
apcfi_truned_gnn(mpp)(gcn),0.8219,0.6262,0.7724,0.9326,0.9412,0.7911,0.9299,0.9604
apcfi_truned_gnn(mpp)(sage),0.7845,0.606,0.7662,0.9181,0.9363,0.784,0.9314,0.9582
fp_PRISM(gcn),0.7984,0.6307,0.7869,0.932,0.9419,0.7918,0.9309,0.9629
fp_PRISM(sage),0.7808,0.6248,0.773,0.9187,0.9293,0.788,0.9339,0.9583
fp_classic_gnn(gcn),0.7855,0.63,0.7818,0.7012,0.8912,0.7761,0.8703,0.9517
fp_classic_gnn(sage),0.7654,0.6272,0.7447,0.9134,0.9408,0.7838,0.9297,0.9571
fp_truned_gnn(mpp)(gcn),0.8062,0.629,0.7827,0.9322,0.941,0.7933,0.932,0.9634
fp_truned_gnn(mpp)(sage),0.7825,0.6083,0.7775,0.9255,0.9242,0.786,0.9315,0.9583
zero_PRISM(gcn),0.5009,0.3901,0.5632,0.6096,0.5297,0.439,0.5256,0.6948
zero_PRISM(sage),0.481,0.4036,0.5599,0.6036,0.5276,0.4345,0.5261,0.694
zero_classic_gnn(gcn),0.7728,0.5715,0.7533,0.3851,0.8647,0.7713,0.7666,0.9435
zero_classic_gnn(sage),0.7004,0.5368,0.7136,0.9007,0.9326,0.7581,0.9121,0.9449
zero_truned_gnn(mpp)(gcn),0.7816,0.5669,0.7609,0.9332,0.9417,0.784,0.9101,0.9567
zero_truned_gnn(mpp)(sage),0.7601,0.5707,0.7592,0.9214,0.9188,0.7746,0.911,0.9543
