scheduler,warnup,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,values,mpp_warnup
True,0.15000000000000002,True,0.006393454307708503,0.18775178344707813,0.001546216276136302,0.00013047821653036239,3,0.8,bnscale,group,True,False,"[0.8246666666666665, 0.8]",
True,0.0,True,0.005400140059344923,0.00958246568315487,0.00014561616600824783,0.018473944858324282,3,0.9,group,group,False,True,"[0.8210000000000001, 0.9]",0.35000000000000003
True,0.15000000000000002,False,0.0010699368259333116,0.25181886985942936,4.289260412404378e-05,0.17481415298317282,2,0.5,base,fpgm,True,False,"[0.8376666666666667, 0.5]",
