scheduler,prune_mlp,lr,weight_decay,mpp_lr,mpp_weight_decay,prune_step,prune_rate,prune_type,imp_type,isomorphic,mpp_scheduler,mpp_warnup,values,warnup
False,True,0.00877258218271568,3.262373585366317e-05,0.00332756096626792,1.7434085689536205e-05,2,0.5,base,group,True,True,0.45,"[0.8443333333333333, 0.5]",
False,True,0.0002798125024273377,2.371906566859137e-05,0.0001462763022550403,1.6165177850997437e-05,2,0.9,group,lamp,False,True,0.30000000000000004,"[0.8253333333333334, 0.9]",
True,False,0.006969212249346767,1.238010949767191e-05,0.0018000077195720614,0.0233864987774942,1,0.6,bnscale,lamp,False,True,0.05,"[0.8423333333333334, 0.6]",0.1
False,True,0.005248134506468663,0.00015223213492358836,0.009547461256373908,0.5794660513483503,1,0.6,base,fpgm,True,True,0.15000000000000002,"[0.8423333333333334, 0.6]",
False,True,0.005248134506468663,0.0009900555166158919,0.0006653273257717841,4.37769114453269e-05,3,0.8,group,fpgm,True,True,0.35000000000000003,"[0.8373333333333334, 0.8]",
