,cora,citeseer,pubmed,computers,photo,wikics,cs,physics,Avg Accuracy
GCN,0.7951,0.667,0.7869,0.7264,0.9185,0.7796,0.7796,0.9555,0.801075
MPP-GCN(tuned),0.7938,0.6829,0.7964,0.9279,0.9562,0.7961,0.7961,0.9704,0.839975
PRISM-GCN,0.8239,0.7248,0.8205,0.926,0.9597,0.803,0.803,0.9643,0.85315
GraphSAGE,0.7408,0.6639,0.7134,0.9109,0.9482,0.7927,0.7927,0.9646,0.8159
MPP-SAGE(tuned),0.7722,0.6474,0.754,0.923,0.9521,0.7938,0.7938,0.9655,0.825225
PRISM-SAGE,0.8087,0.7123,0.8185,0.9033,0.9539,0.7942,0.7942,0.9688,0.8442375
